image_uid,image_id,image_path,annotation_path,is_background,split,seed,train_ratio,val_ratio,test_ratio
nwpu_positive_001,001,NWPU VHR-10 dataset/positive image set/001.jpg,NWPU VHR-10 dataset/ground truth/001.txt,False,test,42,0.7,0.15,0.15
nwpu_background_002,002,NWPU VHR-10 dataset/negative image set/002.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_005,005,NWPU VHR-10 dataset/negative image set/005.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_008,008,NWPU VHR-10 dataset/negative image set/008.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_014,014,NWPU VHR-10 dataset/negative image set/014.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_016,016,NWPU VHR-10 dataset/positive image set/016.jpg,NWPU VHR-10 dataset/ground truth/016.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_019,019,NWPU VHR-10 dataset/positive image set/019.jpg,NWPU VHR-10 dataset/ground truth/019.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_020,020,NWPU VHR-10 dataset/positive image set/020.jpg,NWPU VHR-10 dataset/ground truth/020.txt,False,test,42,0.7,0.15,0.15
nwpu_background_023,023,NWPU VHR-10 dataset/negative image set/023.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_025,025,NWPU VHR-10 dataset/negative image set/025.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_026,026,NWPU VHR-10 dataset/positive image set/026.jpg,NWPU VHR-10 dataset/ground truth/026.txt,False,test,42,0.7,0.15,0.15
nwpu_background_026,026,NWPU VHR-10 dataset/negative image set/026.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_028,028,NWPU VHR-10 dataset/positive image set/028.jpg,NWPU VHR-10 dataset/ground truth/028.txt,False,test,42,0.7,0.15,0.15
nwpu_background_033,033,NWPU VHR-10 dataset/negative image set/033.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_037,037,NWPU VHR-10 dataset/negative image set/037.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_041,041,NWPU VHR-10 dataset/negative image set/041.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_049,049,NWPU VHR-10 dataset/positive image set/049.jpg,NWPU VHR-10 dataset/ground truth/049.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_053,053,NWPU VHR-10 dataset/positive image set/053.jpg,NWPU VHR-10 dataset/ground truth/053.txt,False,test,42,0.7,0.15,0.15
nwpu_background_055,055,NWPU VHR-10 dataset/negative image set/055.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_067,067,NWPU VHR-10 dataset/negative image set/067.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_068,068,NWPU VHR-10 dataset/negative image set/068.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_069,069,NWPU VHR-10 dataset/positive image set/069.jpg,NWPU VHR-10 dataset/ground truth/069.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_076,076,NWPU VHR-10 dataset/positive image set/076.jpg,NWPU VHR-10 dataset/ground truth/076.txt,False,test,42,0.7,0.15,0.15
nwpu_background_077,077,NWPU VHR-10 dataset/negative image set/077.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_078,078,NWPU VHR-10 dataset/negative image set/078.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_083,083,NWPU VHR-10 dataset/negative image set/083.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_086,086,NWPU VHR-10 dataset/positive image set/086.jpg,NWPU VHR-10 dataset/ground truth/086.txt,False,test,42,0.7,0.15,0.15
nwpu_background_090,090,NWPU VHR-10 dataset/negative image set/090.jpg,,True,test,42,0.7,0.15,0.15
nwpu_background_093,093,NWPU VHR-10 dataset/negative image set/093.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_095,095,NWPU VHR-10 dataset/positive image set/095.jpg,NWPU VHR-10 dataset/ground truth/095.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_101,101,NWPU VHR-10 dataset/positive image set/101.jpg,NWPU VHR-10 dataset/ground truth/101.txt,False,test,42,0.7,0.15,0.15
nwpu_background_104,104,NWPU VHR-10 dataset/negative image set/104.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_113,113,NWPU VHR-10 dataset/positive image set/113.jpg,NWPU VHR-10 dataset/ground truth/113.txt,False,test,42,0.7,0.15,0.15
nwpu_background_119,119,NWPU VHR-10 dataset/negative image set/119.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_120,120,NWPU VHR-10 dataset/positive image set/120.jpg,NWPU VHR-10 dataset/ground truth/120.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_122,122,NWPU VHR-10 dataset/positive image set/122.jpg,NWPU VHR-10 dataset/ground truth/122.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_124,124,NWPU VHR-10 dataset/positive image set/124.jpg,NWPU VHR-10 dataset/ground truth/124.txt,False,test,42,0.7,0.15,0.15
nwpu_background_124,124,NWPU VHR-10 dataset/negative image set/124.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_127,127,NWPU VHR-10 dataset/positive image set/127.jpg,NWPU VHR-10 dataset/ground truth/127.txt,False,test,42,0.7,0.15,0.15
nwpu_background_132,132,NWPU VHR-10 dataset/negative image set/132.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_135,135,NWPU VHR-10 dataset/positive image set/135.jpg,NWPU VHR-10 dataset/ground truth/135.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_139,139,NWPU VHR-10 dataset/positive image set/139.jpg,NWPU VHR-10 dataset/ground truth/139.txt,False,test,42,0.7,0.15,0.15
nwpu_background_144,144,NWPU VHR-10 dataset/negative image set/144.jpg,,True,test,42,0.7,0.15,0.15
nwpu_positive_147,147,NWPU VHR-10 dataset/positive image set/147.jpg,NWPU VHR-10 dataset/ground truth/147.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_152,152,NWPU VHR-10 dataset/positive image set/152.jpg,NWPU VHR-10 dataset/ground truth/152.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_158,158,NWPU VHR-10 dataset/positive image set/158.jpg,NWPU VHR-10 dataset/ground truth/158.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_181,181,NWPU VHR-10 dataset/positive image set/181.jpg,NWPU VHR-10 dataset/ground truth/181.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_184,184,NWPU VHR-10 dataset/positive image set/184.jpg,NWPU VHR-10 dataset/ground truth/184.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_185,185,NWPU VHR-10 dataset/positive image set/185.jpg,NWPU VHR-10 dataset/ground truth/185.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_195,195,NWPU VHR-10 dataset/positive image set/195.jpg,NWPU VHR-10 dataset/ground truth/195.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_203,203,NWPU VHR-10 dataset/positive image set/203.jpg,NWPU VHR-10 dataset/ground truth/203.txt,False,test,42,0.7,0.15,0.15
nwpu_positive_207,207,NWPU VHR-10 dataset/positive image set/207.jpg,NWPU VHR-10 dataset/ground truth/207.txt,False,test,42,0.7,0.15,0.15
