image_id,image_path,annotation_path,is_background,split,seed,train_ratio,val_ratio,test_ratio
002,NWPU VHR-10 dataset\positive image set\002.jpg,NWPU VHR-10 dataset\ground truth\002.txt,False,test,42,0.7,0.15,0.15
008,NWPU VHR-10 dataset\negative image set\008.jpg,,True,test,42,0.7,0.15,0.15
014,NWPU VHR-10 dataset\positive image set\014.jpg,NWPU VHR-10 dataset\ground truth\014.txt,False,test,42,0.7,0.15,0.15
015,NWPU VHR-10 dataset\positive image set\015.jpg,NWPU VHR-10 dataset\ground truth\015.txt,False,test,42,0.7,0.15,0.15
016,NWPU VHR-10 dataset\negative image set\016.jpg,,True,test,42,0.7,0.15,0.15
021,NWPU VHR-10 dataset\positive image set\021.jpg,NWPU VHR-10 dataset\ground truth\021.txt,False,test,42,0.7,0.15,0.15
022,NWPU VHR-10 dataset\positive image set\022.jpg,NWPU VHR-10 dataset\ground truth\022.txt,False,test,42,0.7,0.15,0.15
027,NWPU VHR-10 dataset\negative image set\027.jpg,,True,test,42,0.7,0.15,0.15
033,NWPU VHR-10 dataset\negative image set\033.jpg,,True,test,42,0.7,0.15,0.15
033,NWPU VHR-10 dataset\positive image set\033.jpg,NWPU VHR-10 dataset\ground truth\033.txt,False,test,42,0.7,0.15,0.15
035,NWPU VHR-10 dataset\negative image set\035.jpg,,True,test,42,0.7,0.15,0.15
035,NWPU VHR-10 dataset\positive image set\035.jpg,NWPU VHR-10 dataset\ground truth\035.txt,False,test,42,0.7,0.15,0.15
036,NWPU VHR-10 dataset\positive image set\036.jpg,NWPU VHR-10 dataset\ground truth\036.txt,False,test,42,0.7,0.15,0.15
049,NWPU VHR-10 dataset\negative image set\049.jpg,,True,test,42,0.7,0.15,0.15
052,NWPU VHR-10 dataset\positive image set\052.jpg,NWPU VHR-10 dataset\ground truth\052.txt,False,test,42,0.7,0.15,0.15
053,NWPU VHR-10 dataset\positive image set\053.jpg,NWPU VHR-10 dataset\ground truth\053.txt,False,test,42,0.7,0.15,0.15
054,NWPU VHR-10 dataset\positive image set\054.jpg,NWPU VHR-10 dataset\ground truth\054.txt,False,test,42,0.7,0.15,0.15
059,NWPU VHR-10 dataset\negative image set\059.jpg,,True,test,42,0.7,0.15,0.15
059,NWPU VHR-10 dataset\positive image set\059.jpg,NWPU VHR-10 dataset\ground truth\059.txt,False,test,42,0.7,0.15,0.15
060,NWPU VHR-10 dataset\negative image set\060.jpg,,True,test,42,0.7,0.15,0.15
063,NWPU VHR-10 dataset\negative image set\063.jpg,,True,test,42,0.7,0.15,0.15
065,NWPU VHR-10 dataset\positive image set\065.jpg,NWPU VHR-10 dataset\ground truth\065.txt,False,test,42,0.7,0.15,0.15
081,NWPU VHR-10 dataset\positive image set\081.jpg,NWPU VHR-10 dataset\ground truth\081.txt,False,test,42,0.7,0.15,0.15
082,NWPU VHR-10 dataset\negative image set\082.jpg,,True,test,42,0.7,0.15,0.15
085,NWPU VHR-10 dataset\negative image set\085.jpg,,True,test,42,0.7,0.15,0.15
086,NWPU VHR-10 dataset\negative image set\086.jpg,,True,test,42,0.7,0.15,0.15
088,NWPU VHR-10 dataset\positive image set\088.jpg,NWPU VHR-10 dataset\ground truth\088.txt,False,test,42,0.7,0.15,0.15
090,NWPU VHR-10 dataset\negative image set\090.jpg,,True,test,42,0.7,0.15,0.15
092,NWPU VHR-10 dataset\negative image set\092.jpg,,True,test,42,0.7,0.15,0.15
096,NWPU VHR-10 dataset\negative image set\096.jpg,,True,test,42,0.7,0.15,0.15
096,NWPU VHR-10 dataset\positive image set\096.jpg,NWPU VHR-10 dataset\ground truth\096.txt,False,test,42,0.7,0.15,0.15
100,NWPU VHR-10 dataset\positive image set\100.jpg,NWPU VHR-10 dataset\ground truth\100.txt,False,test,42,0.7,0.15,0.15
103,NWPU VHR-10 dataset\positive image set\103.jpg,NWPU VHR-10 dataset\ground truth\103.txt,False,test,42,0.7,0.15,0.15
111,NWPU VHR-10 dataset\negative image set\111.jpg,,True,test,42,0.7,0.15,0.15
115,NWPU VHR-10 dataset\negative image set\115.jpg,,True,test,42,0.7,0.15,0.15
116,NWPU VHR-10 dataset\positive image set\116.jpg,NWPU VHR-10 dataset\ground truth\116.txt,False,test,42,0.7,0.15,0.15
120,NWPU VHR-10 dataset\negative image set\120.jpg,,True,test,42,0.7,0.15,0.15
121,NWPU VHR-10 dataset\positive image set\121.jpg,NWPU VHR-10 dataset\ground truth\121.txt,False,test,42,0.7,0.15,0.15
125,NWPU VHR-10 dataset\negative image set\125.jpg,,True,test,42,0.7,0.15,0.15
127,NWPU VHR-10 dataset\negative image set\127.jpg,,True,test,42,0.7,0.15,0.15
130,NWPU VHR-10 dataset\positive image set\130.jpg,NWPU VHR-10 dataset\ground truth\130.txt,False,test,42,0.7,0.15,0.15
134,NWPU VHR-10 dataset\negative image set\134.jpg,,True,test,42,0.7,0.15,0.15
136,NWPU VHR-10 dataset\negative image set\136.jpg,,True,test,42,0.7,0.15,0.15
157,NWPU VHR-10 dataset\positive image set\157.jpg,NWPU VHR-10 dataset\ground truth\157.txt,False,test,42,0.7,0.15,0.15
160,NWPU VHR-10 dataset\positive image set\160.jpg,NWPU VHR-10 dataset\ground truth\160.txt,False,test,42,0.7,0.15,0.15
165,NWPU VHR-10 dataset\positive image set\165.jpg,NWPU VHR-10 dataset\ground truth\165.txt,False,test,42,0.7,0.15,0.15
167,NWPU VHR-10 dataset\positive image set\167.jpg,NWPU VHR-10 dataset\ground truth\167.txt,False,test,42,0.7,0.15,0.15
171,NWPU VHR-10 dataset\positive image set\171.jpg,NWPU VHR-10 dataset\ground truth\171.txt,False,test,42,0.7,0.15,0.15
190,NWPU VHR-10 dataset\positive image set\190.jpg,NWPU VHR-10 dataset\ground truth\190.txt,False,test,42,0.7,0.15,0.15
192,NWPU VHR-10 dataset\positive image set\192.jpg,NWPU VHR-10 dataset\ground truth\192.txt,False,test,42,0.7,0.15,0.15
198,NWPU VHR-10 dataset\positive image set\198.jpg,NWPU VHR-10 dataset\ground truth\198.txt,False,test,42,0.7,0.15,0.15
206,NWPU VHR-10 dataset\positive image set\206.jpg,NWPU VHR-10 dataset\ground truth\206.txt,False,test,42,0.7,0.15,0.15
207,NWPU VHR-10 dataset\positive image set\207.jpg,NWPU VHR-10 dataset\ground truth\207.txt,False,test,42,0.7,0.15,0.15
218,NWPU VHR-10 dataset\positive image set\218.jpg,NWPU VHR-10 dataset\ground truth\218.txt,False,test,42,0.7,0.15,0.15
224,NWPU VHR-10 dataset\positive image set\224.jpg,NWPU VHR-10 dataset\ground truth\224.txt,False,test,42,0.7,0.15,0.15
225,NWPU VHR-10 dataset\positive image set\225.jpg,NWPU VHR-10 dataset\ground truth\225.txt,False,test,42,0.7,0.15,0.15
231,NWPU VHR-10 dataset\positive image set\231.jpg,NWPU VHR-10 dataset\ground truth\231.txt,False,test,42,0.7,0.15,0.15
241,NWPU VHR-10 dataset\positive image set\241.jpg,NWPU VHR-10 dataset\ground truth\241.txt,False,test,42,0.7,0.15,0.15
242,NWPU VHR-10 dataset\positive image set\242.jpg,NWPU VHR-10 dataset\ground truth\242.txt,False,test,42,0.7,0.15,0.15
244,NWPU VHR-10 dataset\positive image set\244.jpg,NWPU VHR-10 dataset\ground truth\244.txt,False,test,42,0.7,0.15,0.15
252,NWPU VHR-10 dataset\positive image set\252.jpg,NWPU VHR-10 dataset\ground truth\252.txt,False,test,42,0.7,0.15,0.15
253,NWPU VHR-10 dataset\positive image set\253.jpg,NWPU VHR-10 dataset\ground truth\253.txt,False,test,42,0.7,0.15,0.15
268,NWPU VHR-10 dataset\positive image set\268.jpg,NWPU VHR-10 dataset\ground truth\268.txt,False,test,42,0.7,0.15,0.15
307,NWPU VHR-10 dataset\positive image set\307.jpg,NWPU VHR-10 dataset\ground truth\307.txt,False,test,42,0.7,0.15,0.15
315,NWPU VHR-10 dataset\positive image set\315.jpg,NWPU VHR-10 dataset\ground truth\315.txt,False,test,42,0.7,0.15,0.15
346,NWPU VHR-10 dataset\positive image set\346.jpg,NWPU VHR-10 dataset\ground truth\346.txt,False,test,42,0.7,0.15,0.15
348,NWPU VHR-10 dataset\positive image set\348.jpg,NWPU VHR-10 dataset\ground truth\348.txt,False,test,42,0.7,0.15,0.15
367,NWPU VHR-10 dataset\positive image set\367.jpg,NWPU VHR-10 dataset\ground truth\367.txt,False,test,42,0.7,0.15,0.15
374,NWPU VHR-10 dataset\positive image set\374.jpg,NWPU VHR-10 dataset\ground truth\374.txt,False,test,42,0.7,0.15,0.15
377,NWPU VHR-10 dataset\positive image set\377.jpg,NWPU VHR-10 dataset\ground truth\377.txt,False,test,42,0.7,0.15,0.15
388,NWPU VHR-10 dataset\positive image set\388.jpg,NWPU VHR-10 dataset\ground truth\388.txt,False,test,42,0.7,0.15,0.15
390,NWPU VHR-10 dataset\positive image set\390.jpg,NWPU VHR-10 dataset\ground truth\390.txt,False,test,42,0.7,0.15,0.15
392,NWPU VHR-10 dataset\positive image set\392.jpg,NWPU VHR-10 dataset\ground truth\392.txt,False,test,42,0.7,0.15,0.15
403,NWPU VHR-10 dataset\positive image set\403.jpg,NWPU VHR-10 dataset\ground truth\403.txt,False,test,42,0.7,0.15,0.15
407,NWPU VHR-10 dataset\positive image set\407.jpg,NWPU VHR-10 dataset\ground truth\407.txt,False,test,42,0.7,0.15,0.15
419,NWPU VHR-10 dataset\positive image set\419.jpg,NWPU VHR-10 dataset\ground truth\419.txt,False,test,42,0.7,0.15,0.15
442,NWPU VHR-10 dataset\positive image set\442.jpg,NWPU VHR-10 dataset\ground truth\442.txt,False,test,42,0.7,0.15,0.15
446,NWPU VHR-10 dataset\positive image set\446.jpg,NWPU VHR-10 dataset\ground truth\446.txt,False,test,42,0.7,0.15,0.15
461,NWPU VHR-10 dataset\positive image set\461.jpg,NWPU VHR-10 dataset\ground truth\461.txt,False,test,42,0.7,0.15,0.15
462,NWPU VHR-10 dataset\positive image set\462.jpg,NWPU VHR-10 dataset\ground truth\462.txt,False,test,42,0.7,0.15,0.15
467,NWPU VHR-10 dataset\positive image set\467.jpg,NWPU VHR-10 dataset\ground truth\467.txt,False,test,42,0.7,0.15,0.15
475,NWPU VHR-10 dataset\positive image set\475.jpg,NWPU VHR-10 dataset\ground truth\475.txt,False,test,42,0.7,0.15,0.15
484,NWPU VHR-10 dataset\positive image set\484.jpg,NWPU VHR-10 dataset\ground truth\484.txt,False,test,42,0.7,0.15,0.15
485,NWPU VHR-10 dataset\positive image set\485.jpg,NWPU VHR-10 dataset\ground truth\485.txt,False,test,42,0.7,0.15,0.15
490,NWPU VHR-10 dataset\positive image set\490.jpg,NWPU VHR-10 dataset\ground truth\490.txt,False,test,42,0.7,0.15,0.15
492,NWPU VHR-10 dataset\positive image set\492.jpg,NWPU VHR-10 dataset\ground truth\492.txt,False,test,42,0.7,0.15,0.15
493,NWPU VHR-10 dataset\positive image set\493.jpg,NWPU VHR-10 dataset\ground truth\493.txt,False,test,42,0.7,0.15,0.15
494,NWPU VHR-10 dataset\positive image set\494.jpg,NWPU VHR-10 dataset\ground truth\494.txt,False,test,42,0.7,0.15,0.15
499,NWPU VHR-10 dataset\positive image set\499.jpg,NWPU VHR-10 dataset\ground truth\499.txt,False,test,42,0.7,0.15,0.15
503,NWPU VHR-10 dataset\positive image set\503.jpg,NWPU VHR-10 dataset\ground truth\503.txt,False,test,42,0.7,0.15,0.15
505,NWPU VHR-10 dataset\positive image set\505.jpg,NWPU VHR-10 dataset\ground truth\505.txt,False,test,42,0.7,0.15,0.15
506,NWPU VHR-10 dataset\positive image set\506.jpg,NWPU VHR-10 dataset\ground truth\506.txt,False,test,42,0.7,0.15,0.15
509,NWPU VHR-10 dataset\positive image set\509.jpg,NWPU VHR-10 dataset\ground truth\509.txt,False,test,42,0.7,0.15,0.15
525,NWPU VHR-10 dataset\positive image set\525.jpg,NWPU VHR-10 dataset\ground truth\525.txt,False,test,42,0.7,0.15,0.15
526,NWPU VHR-10 dataset\positive image set\526.jpg,NWPU VHR-10 dataset\ground truth\526.txt,False,test,42,0.7,0.15,0.15
529,NWPU VHR-10 dataset\positive image set\529.jpg,NWPU VHR-10 dataset\ground truth\529.txt,False,test,42,0.7,0.15,0.15
534,NWPU VHR-10 dataset\positive image set\534.jpg,NWPU VHR-10 dataset\ground truth\534.txt,False,test,42,0.7,0.15,0.15
540,NWPU VHR-10 dataset\positive image set\540.jpg,NWPU VHR-10 dataset\ground truth\540.txt,False,test,42,0.7,0.15,0.15
552,NWPU VHR-10 dataset\positive image set\552.jpg,NWPU VHR-10 dataset\ground truth\552.txt,False,test,42,0.7,0.15,0.15
556,NWPU VHR-10 dataset\positive image set\556.jpg,NWPU VHR-10 dataset\ground truth\556.txt,False,test,42,0.7,0.15,0.15
558,NWPU VHR-10 dataset\positive image set\558.jpg,NWPU VHR-10 dataset\ground truth\558.txt,False,test,42,0.7,0.15,0.15
563,NWPU VHR-10 dataset\positive image set\563.jpg,NWPU VHR-10 dataset\ground truth\563.txt,False,test,42,0.7,0.15,0.15
565,NWPU VHR-10 dataset\positive image set\565.jpg,NWPU VHR-10 dataset\ground truth\565.txt,False,test,42,0.7,0.15,0.15
566,NWPU VHR-10 dataset\positive image set\566.jpg,NWPU VHR-10 dataset\ground truth\566.txt,False,test,42,0.7,0.15,0.15
567,NWPU VHR-10 dataset\positive image set\567.jpg,NWPU VHR-10 dataset\ground truth\567.txt,False,test,42,0.7,0.15,0.15
568,NWPU VHR-10 dataset\positive image set\568.jpg,NWPU VHR-10 dataset\ground truth\568.txt,False,test,42,0.7,0.15,0.15
587,NWPU VHR-10 dataset\positive image set\587.jpg,NWPU VHR-10 dataset\ground truth\587.txt,False,test,42,0.7,0.15,0.15
589,NWPU VHR-10 dataset\positive image set\589.jpg,NWPU VHR-10 dataset\ground truth\589.txt,False,test,42,0.7,0.15,0.15
600,NWPU VHR-10 dataset\positive image set\600.jpg,NWPU VHR-10 dataset\ground truth\600.txt,False,test,42,0.7,0.15,0.15
601,NWPU VHR-10 dataset\positive image set\601.jpg,NWPU VHR-10 dataset\ground truth\601.txt,False,test,42,0.7,0.15,0.15
611,NWPU VHR-10 dataset\positive image set\611.jpg,NWPU VHR-10 dataset\ground truth\611.txt,False,test,42,0.7,0.15,0.15
615,NWPU VHR-10 dataset\positive image set\615.jpg,NWPU VHR-10 dataset\ground truth\615.txt,False,test,42,0.7,0.15,0.15
617,NWPU VHR-10 dataset\positive image set\617.jpg,NWPU VHR-10 dataset\ground truth\617.txt,False,test,42,0.7,0.15,0.15
622,NWPU VHR-10 dataset\positive image set\622.jpg,NWPU VHR-10 dataset\ground truth\622.txt,False,test,42,0.7,0.15,0.15
630,NWPU VHR-10 dataset\positive image set\630.jpg,NWPU VHR-10 dataset\ground truth\630.txt,False,test,42,0.7,0.15,0.15
633,NWPU VHR-10 dataset\positive image set\633.jpg,NWPU VHR-10 dataset\ground truth\633.txt,False,test,42,0.7,0.15,0.15
635,NWPU VHR-10 dataset\positive image set\635.jpg,NWPU VHR-10 dataset\ground truth\635.txt,False,test,42,0.7,0.15,0.15
640,NWPU VHR-10 dataset\positive image set\640.jpg,NWPU VHR-10 dataset\ground truth\640.txt,False,test,42,0.7,0.15,0.15
645,NWPU VHR-10 dataset\positive image set\645.jpg,NWPU VHR-10 dataset\ground truth\645.txt,False,test,42,0.7,0.15,0.15
648,NWPU VHR-10 dataset\positive image set\648.jpg,NWPU VHR-10 dataset\ground truth\648.txt,False,test,42,0.7,0.15,0.15
001,NWPU VHR-10 dataset\negative image set\001.jpg,,True,train,42,0.7,0.15,0.15
001,NWPU VHR-10 dataset\positive image set\001.jpg,NWPU VHR-10 dataset\ground truth\001.txt,False,train,42,0.7,0.15,0.15
002,NWPU VHR-10 dataset\negative image set\002.jpg,,True,train,42,0.7,0.15,0.15
003,NWPU VHR-10 dataset\negative image set\003.jpg,,True,train,42,0.7,0.15,0.15
003,NWPU VHR-10 dataset\positive image set\003.jpg,NWPU VHR-10 dataset\ground truth\003.txt,False,train,42,0.7,0.15,0.15
