crop_id,image_uid,split,source,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,object_window_px,upsample_factor,high_upsample,box_fill
bg_negative_image_nwpu_background_001_000,nwpu_background_001,train,negative_image,0,background,436,446,509,515,5037,1066,588,rgb,,80,2.8,False,0.787
bg_negative_image_nwpu_background_001_001,nwpu_background_001,train,negative_image,0,background,715,50,756,102,2132,1066,588,rgb,,57,3.93,False,0.656
bg_negative_image_nwpu_background_001_002,nwpu_background_001,train,negative_image,0,background,782,433,820,470,1406,1066,588,rgb,,42,5.333,False,0.797
bg_negative_image_nwpu_background_001_003,nwpu_background_001,train,negative_image,0,background,128,224,197,314,6210,1066,588,rgb,,99,2.263,False,0.634
bg_negative_image_nwpu_background_003_000,nwpu_background_003,train,negative_image,0,background,873,344,904,374,930,973,564,rgb,,34,6.588,True,0.804
bg_negative_image_nwpu_background_003_001,nwpu_background_003,train,negative_image,0,background,780,239,805,263,600,973,564,rgb,,28,8.0,True,0.765
bg_negative_image_nwpu_background_003_002,nwpu_background_003,train,negative_image,0,background,502,32,570,101,4692,973,564,rgb,,76,2.947,False,0.812
bg_negative_image_nwpu_background_003_003,nwpu_background_003,train,negative_image,0,background,730,295,821,392,8827,973,564,rgb,,107,2.093,False,0.771
bg_negative_image_nwpu_background_004_000,nwpu_background_004,train,negative_image,0,background,273,498,379,586,9328,876,601,rgb,,117,1.915,False,0.681
bg_negative_image_nwpu_background_004_001,nwpu_background_004,train,negative_image,0,background,729,436,789,477,2460,876,601,rgb,,66,3.394,False,0.565
bg_negative_image_nwpu_background_004_002,nwpu_background_004,train,negative_image,0,background,390,25,431,60,1435,876,601,rgb,,45,4.978,False,0.709
bg_negative_image_nwpu_background_004_003,nwpu_background_004,train,negative_image,0,background,125,372,189,429,3648,876,601,rgb,,70,3.2,False,0.744
bg_negative_image_nwpu_background_006_000,nwpu_background_006,train,negative_image,0,background,728,135,1008,312,49560,1032,592,rgb,,308,0.727,False,0.522
bg_negative_image_nwpu_background_006_001,nwpu_background_006,train,negative_image,0,background,367,257,407,302,1800,1032,592,rgb,,50,4.48,False,0.72
bg_negative_image_nwpu_background_006_002,nwpu_background_006,train,negative_image,0,background,104,157,336,419,60784,1032,592,rgb,,288,0.778,False,0.733
bg_negative_image_nwpu_background_006_003,nwpu_background_006,train,negative_image,0,background,226,362,261,414,1820,1032,592,rgb,,57,3.93,False,0.56
bg_negative_image_nwpu_background_007_000,nwpu_background_007,train,negative_image,0,background,725,385,799,420,2590,945,585,rgb,,81,2.765,False,0.395
bg_negative_image_nwpu_background_007_001,nwpu_background_007,train,negative_image,0,background,275,430,339,498,4352,945,585,rgb,,75,2.987,False,0.774
bg_negative_image_nwpu_background_007_002,nwpu_background_007,train,negative_image,0,background,341,150,405,215,4160,945,585,rgb,,72,3.111,False,0.802
bg_negative_image_nwpu_background_007_003,nwpu_background_007,train,negative_image,0,background,618,74,658,129,2200,945,585,rgb,,60,3.733,False,0.611
bg_negative_image_nwpu_background_009_000,nwpu_background_009,train,negative_image,0,background,7,388,49,453,2730,987,558,rgb,,72,3.111,False,0.527
bg_negative_image_nwpu_background_009_001,nwpu_background_009,train,negative_image,0,background,612,353,678,410,3762,987,558,rgb,,73,3.068,False,0.706
bg_negative_image_nwpu_background_009_002,nwpu_background_009,train,negative_image,0,background,430,284,481,343,3009,987,558,rgb,,65,3.446,False,0.712
bg_negative_image_nwpu_background_009_003,nwpu_background_009,train,negative_image,0,background,128,59,197,103,3036,987,558,rgb,,76,2.947,False,0.526
bg_negative_image_nwpu_background_010_000,nwpu_background_010,train,negative_image,0,background,383,281,447,349,4352,876,565,rgb,,75,2.987,False,0.774
bg_negative_image_nwpu_background_010_001,nwpu_background_010,train,negative_image,0,background,621,332,685,374,2688,876,565,rgb,,70,3.2,False,0.549
bg_negative_image_nwpu_background_010_002,nwpu_background_010,train,negative_image,0,background,461,156,512,209,2703,876,565,rgb,,58,3.862,False,0.804
bg_negative_image_nwpu_background_010_003,nwpu_background_010,train,negative_image,0,background,25,217,86,285,4148,876,565,rgb,,75,2.987,False,0.737
bg_negative_image_nwpu_background_011_000,nwpu_background_011,train,negative_image,0,background,335,462,365,508,1380,849,587,rgb,,51,4.392,False,0.531
bg_negative_image_nwpu_background_011_001,nwpu_background_011,train,negative_image,0,background,175,28,274,138,10890,849,587,rgb,,121,1.851,False,0.744
bg_negative_image_nwpu_background_011_002,nwpu_background_011,train,negative_image,0,background,223,350,312,408,5162,849,587,rgb,,98,2.286,False,0.537
bg_negative_image_nwpu_background_011_003,nwpu_background_011,train,negative_image,0,background,451,397,491,477,3200,849,587,rgb,,88,2.545,False,0.413
