class,n,mean_box_fill,median_box_fill,min_box_fill,frac_below_0.6,low_fill_flag
airplane,656,0.7199,0.732,0.458,0.0747,False
baseball_diamond,334,0.7062,0.714,0.472,0.1198,False
basketball_court,130,0.5924,0.6005,0.33,0.4923,True
bridge,108,0.5527,0.5555,0.224,0.5833,True
ground_track_field,138,0.5911,0.5955,0.278,0.5217,True
harbor,198,0.4682,0.465,0.112,0.7374,True
ship,254,0.5046,0.496,0.146,0.7087,True
storage_tank,585,0.7728,0.78,0.557,0.0068,False
tennis_court,454,0.5957,0.607,0.264,0.4824,True
vehicle,516,0.5659,0.563,0.248,0.6202,True
