crop_id,image_uid,split,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,object_window_px,upsample_factor,high_upsample,box_fill
nwpu_positive_002_000,nwpu_positive_002,train,1,airplane,575,114,635,162,2880,950,806,rgb,,66,3.394,False,0.661
nwpu_positive_002_001,nwpu_positive_002,train,1,airplane,72,305,133,369,3904,950,806,rgb,,70,3.2,False,0.797
nwpu_positive_002_002,nwpu_positive_002,train,1,airplane,210,317,273,384,4221,950,806,rgb,,74,3.027,False,0.771
nwpu_positive_002_003,nwpu_positive_002,train,1,airplane,306,374,344,420,1748,950,806,rgb,,51,4.392,False,0.672
nwpu_positive_002_004,nwpu_positive_002,train,1,airplane,447,531,535,632,8888,950,806,rgb,,111,2.018,False,0.721
nwpu_positive_002_005,nwpu_positive_002,train,1,airplane,546,605,625,707,8058,950,806,rgb,,112,2.0,False,0.642
nwpu_positive_002_006,nwpu_positive_002,train,1,airplane,632,680,720,790,9680,950,806,rgb,,121,1.851,False,0.661
nwpu_positive_003_000,nwpu_positive_003,train,1,airplane,100,256,170,319,4410,889,803,rgb,,77,2.909,False,0.744
nwpu_positive_003_001,nwpu_positive_003,train,1,airplane,575,139,668,240,9393,889,803,rgb,,111,2.018,False,0.762
nwpu_positive_003_002,nwpu_positive_003,train,1,airplane,753,382,843,484,9180,889,803,rgb,,112,2.0,False,0.732
nwpu_positive_003_003,nwpu_positive_003,train,1,airplane,313,648,415,764,11832,889,803,rgb,,128,1.75,False,0.722
nwpu_positive_003_004,nwpu_positive_003,train,1,airplane,434,674,527,787,10509,889,803,rgb,,124,1.806,False,0.683
nwpu_positive_004_000,nwpu_positive_004,train,1,airplane,227,106,268,155,2009,946,732,rgb,,54,4.148,False,0.689
nwpu_positive_004_001,nwpu_positive_004,train,1,airplane,318,126,370,185,3068,946,732,rgb,,65,3.446,False,0.726
nwpu_positive_004_002,nwpu_positive_004,train,1,airplane,445,88,516,168,5680,946,732,rgb,,88,2.545,False,0.733
nwpu_positive_004_003,nwpu_positive_004,train,1,airplane,363,336,438,420,6300,946,732,rgb,,92,2.435,False,0.744
nwpu_positive_004_004,nwpu_positive_004,train,1,airplane,455,331,529,415,6216,946,732,rgb,,92,2.435,False,0.734
nwpu_positive_004_005,nwpu_positive_004,train,1,airplane,68,316,170,411,9690,946,732,rgb,,112,2.0,False,0.772
nwpu_positive_004_006,nwpu_positive_004,train,1,airplane,69,423,180,525,11322,946,732,rgb,,122,1.836,False,0.761
nwpu_positive_005_000,nwpu_positive_005,val,1,airplane,401,596,443,636,1680,966,753,rgb,,46,4.87,False,0.794
nwpu_positive_005_001,nwpu_positive_005,val,1,airplane,606,138,668,199,3782,966,753,rgb,,68,3.294,False,0.818
nwpu_positive_006_000,nwpu_positive_006,val,1,airplane,135,412,182,472,2820,982,784,rgb,,66,3.394,False,0.647
nwpu_positive_006_001,nwpu_positive_006,val,1,airplane,295,420,347,470,2600,982,784,rgb,,57,3.93,False,0.8
nwpu_positive_006_002,nwpu_positive_006,val,1,airplane,369,363,415,419,2576,982,784,rgb,,62,3.613,False,0.67
nwpu_positive_006_003,nwpu_positive_006,val,1,airplane,444,320,534,432,10080,982,784,rgb,,123,1.821,False,0.666
nwpu_positive_006_004,nwpu_positive_006,val,1,airplane,608,171,704,255,8064,982,784,rgb,,106,2.113,False,0.718
nwpu_positive_006_005,nwpu_positive_006,val,1,airplane,656,62,754,157,9310,982,784,rgb,,108,2.074,False,0.798
nwpu_positive_006_006,nwpu_positive_006,val,1,airplane,317,555,386,627,4968,982,784,rgb,,79,2.835,False,0.796
nwpu_positive_006_007,nwpu_positive_006,val,1,airplane,479,695,542,769,4662,982,784,rgb,,81,2.765,False,0.711
nwpu_positive_007_000,nwpu_positive_007,train,1,airplane,278,546,361,630,6972,985,769,rgb,,92,2.435,False,0.824
nwpu_positive_007_001,nwpu_positive_007,train,1,airplane,362,476,434,545,4968,985,769,rgb,,79,2.835,False,0.796
nwpu_positive_007_002,nwpu_positive_007,train,1,airplane,361,315,457,411,9216,985,769,rgb,,106,2.113,False,0.82
nwpu_positive_007_003,nwpu_positive_007,train,1,airplane,574,199,666,293,8648,985,769,rgb,,103,2.175,False,0.815
nwpu_positive_008_000,nwpu_positive_008,train,1,airplane,208,361,272,418,3648,980,765,rgb,,70,3.2,False,0.744
nwpu_positive_008_001,nwpu_positive_008,train,1,airplane,234,429,289,481,2860,980,765,rgb,,61,3.672,False,0.769
nwpu_positive_008_002,nwpu_positive_008,train,1,airplane,322,473,376,540,3618,980,765,rgb,,74,3.027,False,0.661
nwpu_positive_008_003,nwpu_positive_008,train,1,airplane,313,631,384,697,4686,980,765,rgb,,78,2.872,False,0.77
nwpu_positive_009_000,nwpu_positive_009,val,1,airplane,167,184,232,241,3705,980,767,rgb,,72,3.111,False,0.715
nwpu_positive_009_001,nwpu_positive_009,val,1,airplane,423,146,456,174,924,980,767,rgb,,36,6.222,True,0.713
nwpu_positive_009_002,nwpu_positive_009,val,1,airplane,652,73,694,123,2100,980,767,rgb,,55,4.073,False,0.694
nwpu_positive_009_003,nwpu_positive_009,val,1,airplane,726,223,786,289,3960,980,767,rgb,,73,3.068,False,0.743
nwpu_positive_009_004,nwpu_positive_009,val,1,airplane,627,508,680,560,2756,980,767,rgb,,58,3.862,False,0.819
nwpu_positive_009_005,nwpu_positive_009,val,1,airplane,556,519,606,579,3000,980,767,rgb,,66,3.394,False,0.689
nwpu_positive_010_000,nwpu_positive_010,val,1,airplane,221,53,265,95,1848,979,752,rgb,,48,4.667,False,0.802
nwpu_positive_010_001,nwpu_positive_010,val,1,airplane,147,254,192,297,1935,979,752,rgb,,50,4.48,False,0.774
nwpu_positive_010_002,nwpu_positive_010,val,1,airplane,442,631,493,685,2754,979,752,rgb,,59,3.797,False,0.791
nwpu_positive_010_003,nwpu_positive_010,val,1,airplane,657,485,736,564,6241,979,752,rgb,,87,2.575,False,0.825
nwpu_positive_010_004,nwpu_positive_010,val,1,airplane,846,77,925,149,5688,979,752,rgb,,87,2.575,False,0.751
nwpu_positive_010_005,nwpu_positive_010,val,1,airplane,210,349,261,397,2448,979,752,rgb,,56,4.0,False,0.781
nwpu_positive_011_000,nwpu_positive_011,train,1,airplane,182,251,280,347,9408,969,742,rgb,,108,2.074,False,0.807
nwpu_positive_011_001,nwpu_positive_011,train,1,airplane,286,226,378,322,8832,969,742,rgb,,106,2.113,False,0.786
nwpu_positive_011_002,nwpu_positive_011,train,1,airplane,403,178,453,222,2200,969,742,rgb,,55,4.073,False,0.727
nwpu_positive_011_003,nwpu_positive_011,train,1,airplane,635,149,731,241,8832,969,742,rgb,,106,2.113,False,0.786
