image_uid,mean_r,mean_g,mean_b,mean_r_minus_g,p99_r_minus_g,frac_r_minus_g_gt30,sensor
nwpu_background_001,102.24027252197266,100.36917877197266,87.71683502197266,1.87109375,10.0,0.0,rgb
nwpu_background_003,117.73212432861328,112.26834869384766,102.8470458984375,5.4637770652771,23.0,0.001075268817204301,rgb
nwpu_background_004,111.19011688232422,105.22403717041016,93.58028411865234,5.9660797119140625,27.010000228881836,0.0039204545454545455,rgb
nwpu_background_006,92.6590347290039,94.07078552246094,78.78539276123047,-1.411752700805664,12.0,0.0,rgb
nwpu_background_007,104.57853698730469,104.50391387939453,87.78800201416016,0.07462121546268463,8.0,0.0002525252525252525,rgb
nwpu_background_009,75.02437591552734,76.39875030517578,61.511112213134766,-1.3743749856948853,11.0,0.0,rgb
nwpu_background_010,54.29648208618164,57.30934524536133,44.344600677490234,-3.012864112854004,7.0,0.0,rgb
nwpu_background_011,82.84329986572266,85.02359008789062,74.27973175048828,-2.180292844772339,9.0,0.0,rgb
nwpu_background_012,82.13786315917969,84.39105987548828,74.3122787475586,-2.25319766998291,13.0,0.0,rgb
nwpu_background_013,119.97663879394531,123.68802642822266,110.40540313720703,-3.7113876342773438,12.0,0.0,rgb
nwpu_background_015,61.246788024902344,65.70999145507812,55.48387908935547,-4.46320104598999,7.0,0.0,rgb
nwpu_background_016,62.741050720214844,68.25019836425781,55.52579879760742,-5.50915002822876,6.0,0.0,rgb
nwpu_background_017,55.868873596191406,60.39643859863281,48.75718688964844,-4.527562618255615,6.0,0.0,rgb
nwpu_background_018,54.36275863647461,58.48020935058594,46.5576171875,-4.117447853088379,7.0,0.0,rgb
nwpu_background_019,73.5483169555664,77.03461456298828,64.3772201538086,-3.486298084259033,8.0,0.0,rgb
nwpu_background_020,71.38111877441406,73.59297943115234,63.487369537353516,-2.21185564994812,9.0,6.443298969072165e-05,rgb
nwpu_background_021,70.85591125488281,73.88249206542969,65.6667251586914,-3.026576519012451,9.0,0.0,rgb
nwpu_background_022,67.30452728271484,69.74285888671875,58.75958251953125,-2.43833327293396,25.0,0.0026785714285714286,rgb
nwpu_background_024,72.39058685302734,66.26179504394531,53.939186096191406,6.1287922859191895,18.0,7.02247191011236e-05,rgb
nwpu_background_027,101.57267761230469,88.95059204101562,72.43856811523438,12.62208366394043,34.0,0.034583333333333334,rgb
nwpu_background_028,76.01502227783203,72.91857147216797,60.63449478149414,3.096454381942749,25.0,0.0001201923076923077,rgb
nwpu_background_029,67.37945556640625,70.03570556640625,58.812713623046875,-2.65625,12.0,0.0,rgb
nwpu_background_030,58.31138610839844,64.86974334716797,55.74436950683594,-6.558353900909424,4.0,0.0,rgb
nwpu_background_031,41.70496368408203,46.003211975097656,35.021202087402344,-4.298247814178467,4.0,0.0,rgb
nwpu_background_032,67.05448150634766,72.13851928710938,57.42540740966797,-5.084035396575928,10.0,0.0,rgb
nwpu_background_034,42.72930145263672,47.66774368286133,34.63676071166992,-4.938440799713135,4.0,0.0,rgb
nwpu_background_035,64.2724380493164,59.26968765258789,47.83568572998047,5.002749919891357,18.0,0.0010625,rgb
nwpu_background_036,68.98909759521484,71.70905303955078,57.80944061279297,-2.719961643218994,16.0,0.0,rgb
nwpu_background_038,57.929473876953125,60.69315719604492,46.69368362426758,-2.7636842727661133,32.0,0.011513157894736841,rgb
nwpu_background_039,74.424560546875,74.94324493408203,58.71407699584961,-0.5186868906021118,15.0,0.0,rgb
nwpu_background_040,104.71232604980469,112.57688903808594,114.36387634277344,-7.864564418792725,7.0,0.0,rgb
nwpu_background_042,46.305904388427734,61.18805694580078,59.90229034423828,-14.882152557373047,-7.0,0.0,rgb
nwpu_background_043,58.04497146606445,69.59654998779297,70.32658386230469,-11.551580429077148,-4.0,0.0004310344827586207,rgb
nwpu_background_044,113.6586685180664,128.74734497070312,132.23593139648438,-15.088671684265137,17.0,0.0,rgb
nwpu_background_045,70.67974853515625,86.75474548339844,81.0704116821289,-16.075000762939453,41.0,0.04248417721518987,rgb
nwpu_background_046,55.2337760925293,53.574180603027344,40.52922821044922,1.6595959663391113,14.0,0.0,rgb
nwpu_background_047,66.91099548339844,95.14762878417969,88.88575744628906,-28.236629486083984,1.0,7.911392405063291e-05,rgb
nwpu_background_048,52.274383544921875,73.5129623413086,68.41234588623047,-21.23858070373535,-3.0,0.0,rgb
nwpu_background_049,75.2661361694336,94.93148803710938,85.5654296875,-19.665348052978516,2.0,0.0,rgb
nwpu_background_050,55.960655212402344,78.40283966064453,78.0014877319336,-22.442188262939453,-2.0,0.0,rgb
