crop_id,image_uid,split,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,iou,iou_band,skipped_reason,object_window_px,upsample_factor,high_upsample,box_fill
nwpu_positive_002_000,nwpu_positive_002,train,1,airplane,555,123,634,181,4587,950,806,rgb,0.4441,0.4-0.5,,87,2.575,False,0.606
nwpu_positive_002_001,nwpu_positive_002,train,1,airplane,81,301,139,358,3322,950,806,rgb,0.6172,0.6-0.7,,64,3.5,False,0.811
nwpu_positive_002_002,nwpu_positive_002,train,1,airplane,215,321,278,398,4841,950,806,rgb,0.6785,0.6-0.7,,85,2.635,False,0.67
nwpu_positive_002_003,nwpu_positive_002,train,1,airplane,297,362,351,413,2710,950,806,rgb,0.4945,0.4-0.5,,59,3.797,False,0.779
nwpu_positive_002_004,nwpu_positive_002,train,1,airplane,464,506,544,634,10171,950,806,rgb,0.6021,0.6-0.7,,141,1.589,False,0.512
nwpu_positive_002_005,nwpu_positive_002,train,1,airplane,563,634,651,717,7275,950,806,rgb,0.4141,0.4-0.5,,97,2.309,False,0.773
nwpu_positive_002_006,nwpu_positive_002,train,1,airplane,650,723,728,806,6517,950,806,rgb,0.4112,0.4-0.5,,91,2.462,False,0.787
nwpu_positive_003_000,nwpu_positive_003,train,1,airplane,102,240,181,325,6727,889,803,rgb,0.6285,0.6-0.7,,93,2.409,False,0.778
nwpu_positive_003_001,nwpu_positive_003,train,1,airplane,606,126,698,244,10902,889,803,rgb,0.4442,0.4-0.5,,130,1.723,False,0.645
nwpu_positive_003_002,nwpu_positive_003,train,1,airplane,742,397,813,482,6128,889,803,rgb,0.5113,0.5-0.6,,94,2.383,False,0.693
nwpu_positive_003_003,nwpu_positive_003,train,1,airplane,313,682,431,769,10257,889,803,rgb,0.6085,0.6-0.7,,130,1.723,False,0.607
nwpu_positive_003_004,nwpu_positive_003,train,1,airplane,432,693,562,803,14210,889,803,rgb,0.5449,0.5-0.6,,142,1.577,False,0.705
nwpu_positive_004_000,nwpu_positive_004,train,1,airplane,230,108,262,178,2296,946,732,rgb,0.5564,0.5-0.6,,77,2.909,False,0.387
nwpu_positive_004_001,nwpu_positive_004,train,1,airplane,305,136,366,205,4201,946,732,rgb,0.4723,0.4-0.5,,76,2.947,False,0.727
nwpu_positive_004_002,nwpu_positive_004,train,1,airplane,411,97,506,173,7188,946,732,rgb,0.5007,0.5-0.6,,104,2.154,False,0.665
nwpu_positive_004_003,nwpu_positive_004,train,1,airplane,366,356,461,431,7178,946,732,rgb,0.5263,0.5-0.6,,105,2.133,False,0.651
nwpu_positive_004_004,nwpu_positive_004,train,1,airplane,470,329,532,440,6958,946,732,rgb,0.6047,0.6-0.7,,122,1.836,False,0.468
nwpu_positive_004_005,nwpu_positive_004,train,1,airplane,95,318,206,406,9650,946,732,rgb,0.5086,0.5-0.6,,121,1.851,False,0.659
nwpu_positive_004_006,nwpu_positive_004,train,1,airplane,108,442,181,531,6478,946,732,rgb,0.5033,0.5-0.6,,98,2.286,False,0.675
nwpu_positive_005_000,nwpu_positive_005,val,1,airplane,393,590,447,641,2754,966,753,rgb,0.6101,0.6-0.7,,59,3.797,False,0.791
nwpu_positive_005_001,nwpu_positive_005,val,1,airplane,588,138,663,188,3728,966,753,rgb,0.6102,0.6-0.7,,82,2.732,False,0.554
nwpu_positive_006_000,nwpu_positive_006,val,1,airplane,136,427,179,477,2161,982,784,rgb,0.6371,0.6-0.7,,56,4.0,False,0.689
nwpu_positive_006_001,nwpu_positive_006,val,1,airplane,290,419,328,477,2201,982,784,rgb,0.5264,0.5-0.6,,63,3.556,False,0.554
nwpu_positive_006_002,nwpu_positive_006,val,1,airplane,372,356,438,408,3478,982,784,rgb,0.4736,0.4-0.5,,73,3.068,False,0.653
nwpu_positive_006_003,nwpu_positive_006,val,1,airplane,441,333,548,471,14787,982,784,rgb,0.5572,0.5-0.6,,152,1.474,False,0.64
nwpu_positive_006_004,nwpu_positive_006,val,1,airplane,619,177,697,244,5227,982,784,rgb,0.6482,0.6-0.7,,86,2.605,False,0.707
nwpu_positive_006_005,nwpu_positive_006,val,1,airplane,674,66,751,193,9648,982,784,rgb,0.574,0.5-0.6,,139,1.612,False,0.499
nwpu_positive_006_006,nwpu_positive_006,val,1,airplane,333,533,417,629,8056,982,784,rgb,0.4174,0.4-0.5,,105,2.133,False,0.731
nwpu_positive_006_007,nwpu_positive_006,val,1,airplane,469,684,554,778,8066,982,784,rgb,0.5779,0.5-0.6,,104,2.154,False,0.746
nwpu_positive_007_000,nwpu_positive_007,train,1,airplane,301,569,363,630,3786,985,769,rgb,0.5127,0.5-0.6,,69,3.246,False,0.795
nwpu_positive_007_001,nwpu_positive_007,train,1,airplane,359,473,424,571,6443,985,769,rgb,0.6017,0.6-0.7,,109,2.055,False,0.542
nwpu_positive_007_002,nwpu_positive_007,train,1,airplane,337,327,436,424,9678,985,769,rgb,0.5043,0.5-0.6,,109,2.055,False,0.815
nwpu_positive_007_003,nwpu_positive_007,train,1,airplane,573,170,652,275,8284,985,769,rgb,0.5358,0.5-0.6,,116,1.931,False,0.616
nwpu_positive_008_000,nwpu_positive_008,train,1,airplane,221,373,303,423,4054,980,765,rgb,0.4204,0.4-0.5,,90,2.489,False,0.501
nwpu_positive_008_001,nwpu_positive_008,train,1,airplane,221,413,294,481,4918,980,765,rgb,0.575,0.5-0.6,,80,2.8,False,0.768
nwpu_positive_008_002,nwpu_positive_008,train,1,airplane,315,487,382,573,5835,980,765,rgb,0.4349,0.4-0.5,,95,2.358,False,0.646
nwpu_positive_008_003,nwpu_positive_008,train,1,airplane,278,642,374,690,4609,980,765,rgb,0.4639,0.4-0.5,,106,2.113,False,0.41
nwpu_positive_009_000,nwpu_positive_009,val,1,airplane,167,210,250,248,3189,980,767,rgb,0.4163,0.4-0.5,,91,2.462,False,0.385
nwpu_positive_009_001,nwpu_positive_009,val,1,airplane,426,149,454,184,990,980,767,rgb,0.5928,0.5-0.6,,39,5.744,False,0.651
nwpu_positive_009_002,nwpu_positive_009,val,1,airplane,648,79,682,138,2039,980,767,rgb,0.474,0.4-0.5,,65,3.446,False,0.483
nwpu_positive_009_003,nwpu_positive_009,val,1,airplane,735,204,776,279,3089,980,767,rgb,0.4907,0.4-0.5,,82,2.732,False,0.459
nwpu_positive_009_004,nwpu_positive_009,val,1,airplane,620,492,676,566,4109,980,767,rgb,0.5808,0.5-0.6,,82,2.732,False,0.611
nwpu_positive_009_005,nwpu_positive_009,val,1,airplane,541,510,608,578,4518,980,767,rgb,0.6406,0.6-0.7,,74,3.027,False,0.825
nwpu_positive_010_000,nwpu_positive_010,val,1,airplane,205,56,259,97,2182,979,752,rgb,0.5706,0.5-0.6,,59,3.797,False,0.627
nwpu_positive_010_001,nwpu_positive_010,val,1,airplane,147,255,182,306,1790,979,752,rgb,0.664,0.6-0.7,,56,4.0,False,0.571
nwpu_positive_010_002,nwpu_positive_010,val,1,airplane,452,623,499,686,2928,979,752,rgb,0.6305,0.6-0.7,,70,3.2,False,0.597
nwpu_positive_010_003,nwpu_positive_010,val,1,airplane,656,466,735,580,9018,979,752,rgb,0.6774,0.6-0.7,,126,1.778,False,0.568
nwpu_positive_010_004,nwpu_positive_010,val,1,airplane,853,70,931,121,3951,979,752,rgb,0.4835,0.4-0.5,,86,2.605,False,0.534
nwpu_positive_010_005,nwpu_positive_010,val,1,airplane,211,351,262,416,3318,979,752,rgb,0.6562,0.6-0.7,,71,3.155,False,0.658
nwpu_positive_011_000,nwpu_positive_011,train,1,airplane,188,242,321,328,11374,969,742,rgb,0.5109,0.5-0.6,,146,1.534,False,0.534
nwpu_positive_011_001,nwpu_positive_011,train,1,airplane,288,220,417,286,8578,969,742,rgb,0.452,0.4-0.5,,142,1.577,False,0.425
nwpu_positive_011_002,nwpu_positive_011,train,1,airplane,397,172,466,211,2686,969,742,rgb,0.5139,0.5-0.6,,76,2.947,False,0.465
nwpu_positive_011_003,nwpu_positive_011,train,1,airplane,627,145,761,217,9712,969,742,rgb,0.5392,0.5-0.6,,148,1.514,False,0.443
nwpu_positive_011_004,nwpu_positive_011,train,1,airplane,670,204,759,336,11710,969,742,rgb,0.5549,0.5-0.6,,145,1.545,False,0.557
nwpu_positive_011_005,nwpu_positive_011,train,1,airplane,683,310,809,403,11787,969,742,rgb,0.4051,0.4-0.5,,139,1.612,False,0.61
nwpu_positive_011_006,nwpu_positive_011,train,1,airplane,750,442,809,526,4994,969,742,rgb,0.6308,0.6-0.7,,92,2.435,False,0.59
nwpu_positive_011_007,nwpu_positive_011,train,1,airplane,736,505,806,610,7375,969,742,rgb,0.6582,0.6-0.7,,116,1.931,False,0.548
nwpu_positive_011_008,nwpu_positive_011,train,1,airplane,669,591,728,644,3131,969,742,rgb,0.6408,0.6-0.7,,65,3.446,False,0.741
nwpu_positive_012_000,nwpu_positive_012,train,1,airplane,535,174,581,225,2362,940,806,rgb,0.4987,0.4-0.5,,56,4.0,False,0.753
nwpu_positive_012_001,nwpu_positive_012,train,1,airplane,326,677,384,715,2174,940,806,rgb,0.4108,0.4-0.5,,64,3.5,False,0.531
nwpu_positive_013_000,nwpu_positive_013,train,1,airplane,39,2,186,76,10882,888,552,rgb,0.4949,0.4-0.5,,162,1.383,False,0.415
nwpu_positive_013_001,nwpu_positive_013,train,1,airplane,61,125,159,219,9162,888,552,rgb,0.6025,0.6-0.7,,107,2.093,False,0.8
nwpu_positive_013_002,nwpu_positive_013,train,1,airplane,73,250,150,348,7469,888,552,rgb,0.5175,0.5-0.6,,108,2.074,False,0.64
nwpu_positive_013_003,nwpu_positive_013,train,1,airplane,54,300,148,387,8149,888,552,rgb,0.4009,0.4-0.5,,103,2.175,False,0.768
nwpu_positive_013_004,nwpu_positive_013,train,1,airplane,80,458,164,532,6183,888,552,rgb,0.6005,0.6-0.7,,92,2.435,False,0.73
nwpu_positive_013_005,nwpu_positive_013,train,1,airplane,301,81,373,158,5524,888,552,rgb,0.6319,0.6-0.7,,84,2.667,False,0.783
nwpu_positive_013_006,nwpu_positive_013,train,1,airplane,304,200,377,303,7468,888,552,rgb,0.601,0.6-0.7,,112,2.0,False,0.595
nwpu_positive_013_007,nwpu_positive_013,train,1,airplane,287,336,413,461,15736,888,552,rgb,0.504,0.5-0.6,,138,1.623,False,0.826
nwpu_positive_013_008,nwpu_positive_013,train,1,airplane,263,423,381,541,13927,888,552,rgb,0.6813,0.6-0.7,,130,1.723,False,0.824
nwpu_positive_013_009,nwpu_positive_013,train,1,airplane,467,220,563,352,12597,888,552,rgb,0.5441,0.5-0.6,,145,1.545,False,0.599
nwpu_positive_013_010,nwpu_positive_013,train,1,airplane,561,66,644,174,8925,888,552,rgb,0.6361,0.6-0.7,,119,1.882,False,0.63
nwpu_positive_013_011,nwpu_positive_013,train,1,airplane,559,336,696,443,14513,888,552,rgb,0.6086,0.6-0.7,,150,1.493,False,0.645
nwpu_positive_013_012,nwpu_positive_013,train,1,airplane,591,441,656,552,7199,888,552,rgb,0.5516,0.5-0.6,,122,1.836,False,0.484
nwpu_positive_014_000,nwpu_positive_014,train,1,airplane,47,272,122,322,3722,1063,590,rgb,0.6281,0.6-0.7,,83,2.699,False,0.54
nwpu_positive_014_001,nwpu_positive_014,train,1,airplane,303,335,388,434,8555,1063,590,rgb,0.4071,0.4-0.5,,110,2.036,False,0.707
nwpu_positive_014_002,nwpu_positive_014,train,1,airplane,337,241,453,351,12821,1063,590,rgb,0.505,0.5-0.6,,128,1.75,False,0.783
nwpu_positive_014_003,nwpu_positive_014,train,1,airplane,444,159,524,260,8011,1063,590,rgb,0.5972,0.5-0.6,,111,2.018,False,0.65
nwpu_positive_014_004,nwpu_positive_014,train,1,airplane,533,93,596,186,5865,1063,590,rgb,0.5083,0.5-0.6,,102,2.196,False,0.564
