encoder,stream,source,n_object,n_background,object_sim_mean,object_sim_p05,background_sim_mean,background_sim_p95,auroc,threshold_95pct_bg_reject,object_reject_cost,mean_excluded
remoteclip_b32,object,all,3373,999,0.9522,0.8992,0.8594,0.9484,0.9359,0.9484,0.3315,3369.8
remoteclip_b32,object,negative_image,3373,500,0.9522,0.8992,0.8548,0.9385,0.9499,0.9385,0.2262,
remoteclip_b32,object,positive_free,3373,499,0.9522,0.8992,0.8639,0.9543,0.9218,0.9543,0.4331,
remoteclip_b32,context,all,3373,999,0.9429,0.8876,0.8003,0.9434,0.9403,0.9434,0.4162,3369.8
remoteclip_b32,context,negative_image,3373,500,0.9429,0.8876,0.7569,0.8597,0.9934,0.8597,0.0166,
remoteclip_b32,context,positive_free,3373,499,0.9429,0.8876,0.8437,0.9536,0.887,0.9536,0.571,
remoteclip_l14,object,all,3373,999,0.9664,0.9366,0.888,0.9436,0.9809,0.9436,0.0883,3369.8
remoteclip_l14,object,negative_image,3373,500,0.9664,0.9366,0.8851,0.9398,0.9843,0.9398,0.0643,
remoteclip_l14,object,positive_free,3373,499,0.9664,0.9366,0.891,0.9457,0.9775,0.9457,0.1029,
remoteclip_l14,context,all,3373,999,0.9459,0.905,0.8529,0.9417,0.9476,0.9417,0.3617,3369.8
remoteclip_l14,context,negative_image,3373,500,0.9459,0.905,0.8263,0.8871,0.9968,0.8871,0.0172,
remoteclip_l14,context,positive_free,3373,499,0.9459,0.905,0.8796,0.9512,0.8984,0.9512,0.5301,
openclip_b32,object,all,3373,999,0.943,0.9031,0.9061,0.9437,0.8682,0.9437,0.4219,3369.8
openclip_b32,object,negative_image,3373,500,0.943,0.9031,0.9061,0.9425,0.8705,0.9425,0.4023,
openclip_b32,object,positive_free,3373,499,0.943,0.9031,0.9062,0.9452,0.8659,0.9452,0.4595,
openclip_b32,context,all,3373,999,0.9286,0.8839,0.8882,0.9359,0.854,0.9359,0.5743,3369.8
openclip_b32,context,negative_image,3373,500,0.9286,0.8839,0.8771,0.9191,0.9205,0.9191,0.2997,
openclip_b32,context,positive_free,3373,499,0.9286,0.8839,0.8993,0.9425,0.7873,0.9425,0.6955,
dinov2_b14,object,all,3373,999,0.7758,0.6112,0.6405,0.8278,0.7909,0.8278,0.6342,3369.8
dinov2_b14,object,negative_image,3373,500,0.7758,0.6112,0.638,0.8319,0.7841,0.8319,0.6502,
dinov2_b14,object,positive_free,3373,499,0.7758,0.6112,0.643,0.8263,0.7976,0.8263,0.6309,
dinov2_b14,context,all,3373,999,0.8397,0.7119,0.7922,0.8984,0.6436,0.8984,0.8277,3369.8
dinov2_b14,context,negative_image,3373,500,0.8397,0.7119,0.7834,0.8869,0.6735,0.8869,0.7462,
dinov2_b14,context,positive_free,3373,499,0.8397,0.7119,0.801,0.9059,0.6137,0.9059,0.8701,
