encoder,stream,iou_band,n,p_at_5,mean_sim_at_1
remoteclip_b32,object,0.4-0.5,1061,0.9845,0.9357
remoteclip_b32,object,0.5-0.6,1163,0.984,0.9409
remoteclip_b32,object,0.6-0.7,1149,0.9911,0.9452
remoteclip_b32,context,0.4-0.5,1061,0.9585,0.9394
remoteclip_b32,context,0.5-0.6,1163,0.9556,0.9397
remoteclip_b32,context,0.6-0.7,1149,0.9657,0.9409
remoteclip_l14,object,0.4-0.5,1061,0.9926,0.951
remoteclip_l14,object,0.5-0.6,1163,0.9921,0.9555
remoteclip_l14,object,0.6-0.7,1149,0.9962,0.9598
remoteclip_l14,context,0.4-0.5,1061,0.9557,0.9422
remoteclip_l14,context,0.5-0.6,1163,0.9558,0.9426
remoteclip_l14,context,0.6-0.7,1149,0.9629,0.9437
openclip_b32,object,0.4-0.5,1061,0.9632,0.9355
openclip_b32,object,0.5-0.6,1163,0.9642,0.9367
openclip_b32,object,0.6-0.7,1149,0.9814,0.9393
openclip_b32,context,0.4-0.5,1061,0.9139,0.9263
openclip_b32,context,0.5-0.6,1163,0.9116,0.9254
openclip_b32,context,0.6-0.7,1149,0.9198,0.9287
dinov2_b14,object,0.4-0.5,1061,0.9757,0.761
dinov2_b14,object,0.5-0.6,1163,0.9685,0.7676
dinov2_b14,object,0.6-0.7,1149,0.9772,0.7706
dinov2_b14,context,0.4-0.5,1061,0.8912,0.8384
dinov2_b14,context,0.5-0.6,1163,0.8779,0.8387
dinov2_b14,context,0.6-0.7,1149,0.8849,0.8439
