encoder,stream,query_sensor,class,n,p_at_5,random_p_at_5,lift
remoteclip_b32,object,ALL,__sensor_purity@5__,3373,0.9947,,
remoteclip_b32,object,cir,vehicle,365,0.9956,0.149,0.8466
remoteclip_b32,object,rgb,airplane,656,0.9988,0.1945,0.8043
remoteclip_b32,object,rgb,baseball_diamond,334,0.9958,0.097,0.8988
remoteclip_b32,object,rgb,basketball_court,130,0.9492,0.0508,0.8985
remoteclip_b32,object,rgb,bridge,108,1.0,0.0333,0.9667
remoteclip_b32,object,rgb,ground_track_field,138,1.0,0.0319,0.9681
remoteclip_b32,object,rgb,harbor,198,1.0,0.0626,0.9374
remoteclip_b32,object,rgb,ship,254,0.9937,0.0772,0.9165
remoteclip_b32,object,rgb,storage_tank,585,1.0,0.175,0.825
remoteclip_b32,object,rgb,tennis_court,454,0.9846,0.1313,0.8533
remoteclip_b32,object,rgb,vehicle,151,0.9921,0.1417,0.8503
remoteclip_b32,context,ALL,__sensor_purity@5__,3373,0.9992,,
remoteclip_b32,context,cir,vehicle,365,1.0,0.149,0.851
remoteclip_b32,context,rgb,airplane,656,1.0,0.1945,0.8055
remoteclip_b32,context,rgb,baseball_diamond,334,0.9581,0.097,0.8611
remoteclip_b32,context,rgb,basketball_court,130,0.76,0.0508,0.7092
remoteclip_b32,context,rgb,bridge,108,0.9667,0.0333,0.9333
remoteclip_b32,context,rgb,ground_track_field,138,0.9667,0.0319,0.9348
remoteclip_b32,context,rgb,harbor,198,0.9939,0.0626,0.9313
remoteclip_b32,context,rgb,ship,254,0.9803,0.0772,0.9031
remoteclip_b32,context,rgb,storage_tank,585,0.9942,0.175,0.8191
remoteclip_b32,context,rgb,tennis_court,454,0.9559,0.1313,0.8247
remoteclip_b32,context,rgb,vehicle,151,0.9987,0.1417,0.857
remoteclip_l14,object,ALL,__sensor_purity@5__,3373,0.9904,,
remoteclip_l14,object,cir,vehicle,365,0.9967,0.149,0.8477
remoteclip_l14,object,rgb,airplane,656,1.0,0.1945,0.8055
remoteclip_l14,object,rgb,baseball_diamond,334,0.9982,0.097,0.9012
remoteclip_l14,object,rgb,basketball_court,130,0.9831,0.0508,0.9323
remoteclip_l14,object,rgb,bridge,108,0.9963,0.0333,0.963
remoteclip_l14,object,rgb,ground_track_field,138,1.0,0.0319,0.9681
remoteclip_l14,object,rgb,harbor,198,1.0,0.0626,0.9374
remoteclip_l14,object,rgb,ship,254,0.9929,0.0772,0.9157
remoteclip_l14,object,rgb,storage_tank,585,1.0,0.175,0.825
remoteclip_l14,object,rgb,tennis_court,454,0.9956,0.1313,0.8643
remoteclip_l14,object,rgb,vehicle,151,0.9934,0.1417,0.8517
remoteclip_l14,context,ALL,__sensor_purity@5__,3373,0.9945,,
remoteclip_l14,context,cir,vehicle,365,1.0,0.149,0.851
remoteclip_l14,context,rgb,airplane,656,0.9994,0.1945,0.8049
remoteclip_l14,context,rgb,baseball_diamond,334,0.9443,0.097,0.8473
remoteclip_l14,context,rgb,basketball_court,130,0.7246,0.0508,0.6738
remoteclip_l14,context,rgb,bridge,108,0.963,0.0333,0.9296
remoteclip_l14,context,rgb,ground_track_field,138,0.9159,0.0319,0.8841
remoteclip_l14,context,rgb,harbor,198,0.998,0.0626,0.9354
remoteclip_l14,context,rgb,ship,254,0.974,0.0772,0.8969
remoteclip_l14,context,rgb,storage_tank,585,0.9956,0.175,0.8205
remoteclip_l14,context,rgb,tennis_court,454,0.9485,0.1313,0.8172
remoteclip_l14,context,rgb,vehicle,151,1.0,0.1417,0.8583
openclip_b32,object,ALL,__sensor_purity@5__,3373,0.987,,
openclip_b32,object,cir,vehicle,365,0.9929,0.149,0.8438
openclip_b32,object,rgb,airplane,656,0.9957,0.1945,0.8012
openclip_b32,object,rgb,baseball_diamond,334,0.9719,0.097,0.8749
openclip_b32,object,rgb,basketball_court,130,0.8677,0.0508,0.8169
openclip_b32,object,rgb,bridge,108,0.9778,0.0333,0.9444
openclip_b32,object,rgb,ground_track_field,138,1.0,0.0319,0.9681
openclip_b32,object,rgb,harbor,198,0.9838,0.0626,0.9212
openclip_b32,object,rgb,ship,254,0.9717,0.0772,0.8945
openclip_b32,object,rgb,storage_tank,585,0.9986,0.175,0.8236
openclip_b32,object,rgb,tennis_court,454,0.9819,0.1313,0.8507
openclip_b32,object,rgb,vehicle,151,0.9762,0.1417,0.8344
openclip_b32,context,ALL,__sensor_purity@5__,3373,0.9944,,
openclip_b32,context,cir,vehicle,365,0.9995,0.149,0.8504
openclip_b32,context,rgb,airplane,656,0.9994,0.1945,0.8049
openclip_b32,context,rgb,baseball_diamond,334,0.8713,0.097,0.7743
openclip_b32,context,rgb,basketball_court,130,0.4785,0.0508,0.4277
openclip_b32,context,rgb,bridge,108,0.9148,0.0333,0.8815
openclip_b32,context,rgb,ground_track_field,138,0.7594,0.0319,0.7275
openclip_b32,context,rgb,harbor,198,0.9636,0.0626,0.901
openclip_b32,context,rgb,ship,254,0.9362,0.0772,0.8591
openclip_b32,context,rgb,storage_tank,585,0.9962,0.175,0.8212
openclip_b32,context,rgb,tennis_court,454,0.8749,0.1313,0.7436
openclip_b32,context,rgb,vehicle,151,0.9987,0.1417,0.857
dinov2_b14,object,ALL,__sensor_purity@5__,3373,0.9783,,
dinov2_b14,object,cir,vehicle,365,0.994,0.149,0.8449
dinov2_b14,object,rgb,airplane,656,0.9991,0.1945,0.8046
dinov2_b14,object,rgb,baseball_diamond,334,0.9916,0.097,0.8946
dinov2_b14,object,rgb,basketball_court,130,0.8662,0.0508,0.8154
dinov2_b14,object,rgb,bridge,108,0.9593,0.0333,0.9259
dinov2_b14,object,rgb,ground_track_field,138,0.9942,0.0319,0.9623
dinov2_b14,object,rgb,harbor,198,0.9909,0.0626,0.9283
dinov2_b14,object,rgb,ship,254,0.9724,0.0772,0.8953
dinov2_b14,object,rgb,storage_tank,585,0.9969,0.175,0.8219
dinov2_b14,object,rgb,tennis_court,454,0.9828,0.1313,0.8515
dinov2_b14,object,rgb,vehicle,151,0.9894,0.1417,0.8477
dinov2_b14,context,ALL,__sensor_purity@5__,3373,0.9867,,
dinov2_b14,context,cir,vehicle,365,0.9989,0.149,0.8499
dinov2_b14,context,rgb,airplane,656,0.9994,0.1945,0.8049
dinov2_b14,context,rgb,baseball_diamond,334,0.7934,0.097,0.6964
dinov2_b14,context,rgb,basketball_court,130,0.4262,0.0508,0.3754
dinov2_b14,context,rgb,bridge,108,0.8963,0.0333,0.863
dinov2_b14,context,rgb,ground_track_field,138,0.6884,0.0319,0.6565
dinov2_b14,context,rgb,harbor,198,0.9657,0.0626,0.903
dinov2_b14,context,rgb,ship,254,0.915,0.0772,0.8378
dinov2_b14,context,rgb,storage_tank,585,0.9768,0.175,0.8017
dinov2_b14,context,rgb,tennis_court,454,0.7722,0.1313,0.641
dinov2_b14,context,rgb,vehicle,151,0.9788,0.1417,0.8371
