encoder,stream,stratification,bucket,n,p_at_5,random_p_at_5,lift
remoteclip_b32,object,upsample,2-4x,2117,0.9923,0.1404,0.8519
remoteclip_b32,object,upsample,4-6x,508,0.9933,0.1634,0.8299
remoteclip_b32,object,upsample,<=2x,651,1.0,0.0762,0.9238
remoteclip_b32,object,upsample,>6x,97,0.9959,0.1505,0.8454
remoteclip_b32,object,size_coco,32^2-96^2,2761,0.9928,0.1416,0.8511
remoteclip_b32,object,size_coco,<32^2,96,0.9979,0.15,0.8479
remoteclip_b32,object,size_coco,>96^2,516,1.0,0.0756,0.9244
remoteclip_b32,object,size_tertile,2808-5546,1129,0.9899,0.1449,0.845
remoteclip_b32,object,size_tertile,<2808,1119,0.9937,0.145,0.8488
remoteclip_b32,object,size_tertile,>5546,1125,0.9984,0.1054,0.893
remoteclip_b32,context,upsample,2-4x,2117,0.9731,0.1404,0.8327
remoteclip_b32,context,upsample,4-6x,508,0.9933,0.1634,0.8299
remoteclip_b32,context,upsample,<=2x,651,0.9653,0.0762,0.8891
remoteclip_b32,context,upsample,>6x,97,0.9979,0.1505,0.8474
remoteclip_b32,context,size_coco,32^2-96^2,2761,0.9766,0.1416,0.835
remoteclip_b32,context,size_coco,<32^2,96,1.0,0.15,0.85
remoteclip_b32,context,size_coco,>96^2,516,0.964,0.0756,0.8884
remoteclip_b32,context,size_tertile,2808-5546,1129,0.9727,0.1449,0.8278
remoteclip_b32,context,size_tertile,<2808,1119,0.9864,0.145,0.8415
remoteclip_b32,context,size_tertile,>5546,1125,0.9669,0.1054,0.8615
remoteclip_l14,object,upsample,2-4x,2117,0.9974,0.1404,0.8571
remoteclip_l14,object,upsample,4-6x,508,0.9953,0.1634,0.8319
remoteclip_l14,object,upsample,<=2x,651,0.9978,0.0762,0.9217
remoteclip_l14,object,upsample,>6x,97,1.0,0.1505,0.8495
remoteclip_l14,object,size_coco,32^2-96^2,2761,0.9968,0.1416,0.8552
remoteclip_l14,object,size_coco,<32^2,96,1.0,0.15,0.85
remoteclip_l14,object,size_coco,>96^2,516,0.9992,0.0756,0.9236
remoteclip_l14,object,size_tertile,2808-5546,1129,0.9972,0.1449,0.8523
remoteclip_l14,object,size_tertile,<2808,1119,0.9959,0.145,0.8509
remoteclip_l14,object,size_tertile,>5546,1125,0.9988,0.1054,0.8933
remoteclip_l14,context,upsample,2-4x,2117,0.9697,0.1404,0.8293
remoteclip_l14,context,upsample,4-6x,508,0.9976,0.1634,0.8343
remoteclip_l14,context,upsample,<=2x,651,0.9419,0.0762,0.8657
remoteclip_l14,context,upsample,>6x,97,0.9979,0.1505,0.8474
remoteclip_l14,context,size_coco,32^2-96^2,2761,0.974,0.1416,0.8324
remoteclip_l14,context,size_coco,<32^2,96,1.0,0.15,0.85
remoteclip_l14,context,size_coco,>96^2,516,0.9388,0.0756,0.8632
remoteclip_l14,context,size_tertile,2808-5546,1129,0.9702,0.1449,0.8253
remoteclip_l14,context,size_tertile,<2808,1119,0.9882,0.145,0.8433
remoteclip_l14,context,size_tertile,>5546,1125,0.9497,0.1054,0.8443
openclip_b32,object,upsample,2-4x,2117,0.981,0.1404,0.8406
openclip_b32,object,upsample,4-6x,508,0.9756,0.1634,0.8122
openclip_b32,object,upsample,<=2x,651,0.9926,0.0762,0.9164
openclip_b32,object,upsample,>6x,97,1.0,0.1505,0.8495
openclip_b32,object,size_coco,32^2-96^2,2761,0.9803,0.1416,0.8387
openclip_b32,object,size_coco,<32^2,96,0.9958,0.15,0.8458
openclip_b32,object,size_coco,>96^2,516,0.995,0.0756,0.9194
openclip_b32,object,size_tertile,2808-5546,1129,0.9819,0.1449,0.837
openclip_b32,object,size_tertile,<2808,1119,0.9769,0.145,0.832
openclip_b32,object,size_tertile,>5546,1125,0.99,0.1054,0.8846
openclip_b32,context,upsample,2-4x,2117,0.9351,0.1404,0.7947
openclip_b32,context,upsample,4-6x,508,0.987,0.1634,0.8236
openclip_b32,context,upsample,<=2x,651,0.8581,0.0762,0.7819
openclip_b32,context,upsample,>6x,97,1.0,0.1505,0.8495
openclip_b32,context,size_coco,32^2-96^2,2761,0.9411,0.1416,0.7995
openclip_b32,context,size_coco,<32^2,96,1.0,0.15,0.85
openclip_b32,context,size_coco,>96^2,516,0.857,0.0756,0.7814
openclip_b32,context,size_tertile,2808-5546,1129,0.9339,0.1449,0.789
openclip_b32,context,size_tertile,<2808,1119,0.9662,0.145,0.8213
openclip_b32,context,size_tertile,>5546,1125,0.8898,0.1054,0.7844
dinov2_b14,object,upsample,2-4x,2117,0.9867,0.1404,0.8463
dinov2_b14,object,upsample,4-6x,508,0.9898,0.1634,0.8264
dinov2_b14,object,upsample,<=2x,651,0.9797,0.0762,0.9035
dinov2_b14,object,upsample,>6x,97,0.9835,0.1505,0.833
dinov2_b14,object,size_coco,32^2-96^2,2761,0.9859,0.1416,0.8443
dinov2_b14,object,size_coco,<32^2,96,0.9896,0.15,0.8396
dinov2_b14,object,size_coco,>96^2,516,0.9837,0.0756,0.9081
dinov2_b14,object,size_tertile,2808-5546,1129,0.9842,0.1449,0.8393
dinov2_b14,object,size_tertile,<2808,1119,0.9866,0.145,0.8416
dinov2_b14,object,size_tertile,>5546,1125,0.9863,0.1054,0.8809
dinov2_b14,context,upsample,2-4x,2117,0.8977,0.1404,0.7573
dinov2_b14,context,upsample,4-6x,508,0.9689,0.1634,0.8055
dinov2_b14,context,upsample,<=2x,651,0.827,0.0762,0.7508
dinov2_b14,context,upsample,>6x,97,0.9773,0.1505,0.8268
dinov2_b14,context,size_coco,32^2-96^2,2761,0.9071,0.1416,0.7654
dinov2_b14,context,size_coco,<32^2,96,0.9875,0.15,0.8375
dinov2_b14,context,size_coco,>96^2,516,0.8267,0.0756,0.7512
dinov2_b14,context,size_tertile,2808-5546,1129,0.8907,0.1449,0.7458
dinov2_b14,context,size_tertile,<2808,1119,0.9408,0.145,0.7959
dinov2_b14,context,size_tertile,>5546,1125,0.8599,0.1054,0.7545
