encoder,stream,corpus,class,n,p_at_1,p_at_5,random_p_at_5,lift,p_at_5_same_sensor,lift_same_sensor
remoteclip_b32,object,clean,ground_track_field,138,1.0,1.0,0.0319,0.9681,1.0,0.9391
remoteclip_b32,object,clean,bridge,108,1.0,1.0,0.0333,0.9667,1.0,0.9556
remoteclip_b32,object,clean,harbor,198,1.0,1.0,0.0626,0.9374,1.0,0.9394
remoteclip_b32,object,clean,ship,254,1.0,0.9937,0.0772,0.9165,0.9953,0.8992
remoteclip_b32,object,clean,baseball_diamond,334,0.997,0.9958,0.097,0.8988,0.9958,0.8898
remoteclip_b32,object,clean,basketball_court,130,0.9538,0.9492,0.0508,0.8985,0.9492,0.9062
remoteclip_b32,object,clean,tennis_court,454,0.989,0.9846,0.1313,0.8533,0.9863,0.8379
remoteclip_b32,object,clean,vehicle,516,0.9981,0.9946,0.1469,0.8477,0.9957,0.2733
remoteclip_b32,object,clean,storage_tank,585,1.0,1.0,0.175,0.825,1.0,0.8099
remoteclip_b32,object,clean,airplane,656,0.9985,0.9988,0.1945,0.8043,0.9988,0.7768
remoteclip_b32,object,jitter,ground_track_field,138,1.0,0.9986,0.0319,0.9667,,
remoteclip_b32,object,jitter,bridge,108,1.0,0.9981,0.0333,0.9648,,
remoteclip_b32,object,jitter,harbor,198,1.0,0.999,0.0626,0.9364,,
remoteclip_b32,object,jitter,baseball_diamond,334,0.991,0.9904,0.097,0.8934,,
remoteclip_b32,object,jitter,ship,254,0.9764,0.9638,0.0772,0.8866,,
remoteclip_b32,object,jitter,tennis_court,454,0.9824,0.9811,0.1313,0.8498,,
remoteclip_b32,object,jitter,basketball_court,130,0.8923,0.8954,0.0508,0.8446,,
remoteclip_b32,object,jitter,vehicle,516,0.9942,0.9911,0.1469,0.8442,,
remoteclip_b32,object,jitter,storage_tank,585,0.9966,0.9938,0.175,0.8188,,
remoteclip_b32,object,jitter,airplane,656,0.9985,0.9973,0.1945,0.8027,,
remoteclip_b32,context,clean,ground_track_field,138,0.971,0.9667,0.0319,0.9348,0.9667,0.9058
remoteclip_b32,context,clean,bridge,108,0.9722,0.9667,0.0333,0.9333,0.9667,0.9222
remoteclip_b32,context,clean,harbor,198,0.9848,0.9939,0.0626,0.9313,0.9939,0.9333
remoteclip_b32,context,clean,ship,254,0.9882,0.9803,0.0772,0.9031,0.9795,0.8835
remoteclip_b32,context,clean,baseball_diamond,334,0.9581,0.9581,0.097,0.8611,0.9581,0.8521
remoteclip_b32,context,clean,vehicle,516,0.9981,0.9996,0.1469,0.8527,0.9992,0.2767
remoteclip_b32,context,clean,tennis_court,454,0.9714,0.9559,0.1313,0.8247,0.9564,0.8079
remoteclip_b32,context,clean,storage_tank,585,0.9966,0.9942,0.175,0.8191,0.9942,0.8041
remoteclip_b32,context,clean,airplane,656,1.0,1.0,0.1945,0.8055,1.0,0.778
remoteclip_b32,context,clean,basketball_court,130,0.7692,0.76,0.0508,0.7092,0.76,0.7169
remoteclip_b32,context,jitter,bridge,108,0.9722,0.9685,0.0333,0.9352,,
remoteclip_b32,context,jitter,harbor,198,0.9747,0.9939,0.0626,0.9313,,
remoteclip_b32,context,jitter,ground_track_field,138,0.9565,0.9551,0.0319,0.9232,,
remoteclip_b32,context,jitter,ship,254,0.9921,0.9787,0.0772,0.9016,,
remoteclip_b32,context,jitter,vehicle,516,1.0,0.9996,0.1469,0.8527,,
remoteclip_b32,context,jitter,airplane,656,1.0,1.0,0.1945,0.8055,,
remoteclip_b32,context,jitter,storage_tank,585,0.9778,0.9795,0.175,0.8044,,
remoteclip_b32,context,jitter,baseball_diamond,334,0.8922,0.888,0.097,0.791,,
remoteclip_b32,context,jitter,tennis_court,454,0.9251,0.9198,0.1313,0.7885,,
remoteclip_b32,context,jitter,basketball_court,130,0.7462,0.7477,0.0508,0.6969,,
remoteclip_l14,object,clean,ground_track_field,138,1.0,1.0,0.0319,0.9681,1.0,0.9391
remoteclip_l14,object,clean,bridge,108,1.0,0.9963,0.0333,0.963,0.9963,0.9519
remoteclip_l14,object,clean,harbor,198,1.0,1.0,0.0626,0.9374,1.0,0.9394
remoteclip_l14,object,clean,basketball_court,130,0.9846,0.9831,0.0508,0.9323,0.9831,0.94
remoteclip_l14,object,clean,ship,254,0.9961,0.9929,0.0772,0.9157,0.9976,0.9016
remoteclip_l14,object,clean,baseball_diamond,334,0.997,0.9982,0.097,0.9012,0.9982,0.8922
remoteclip_l14,object,clean,tennis_court,454,0.9956,0.9956,0.1313,0.8643,0.9965,0.848
remoteclip_l14,object,clean,vehicle,516,0.9981,0.9957,0.1469,0.8488,0.9961,0.2736
remoteclip_l14,object,clean,storage_tank,585,1.0,1.0,0.175,0.825,1.0,0.8099
remoteclip_l14,object,clean,airplane,656,1.0,1.0,0.1945,0.8055,1.0,0.778
remoteclip_l14,object,jitter,ground_track_field,138,1.0,1.0,0.0319,0.9681,,
remoteclip_l14,object,jitter,bridge,108,1.0,0.9963,0.0333,0.963,,
remoteclip_l14,object,jitter,harbor,198,1.0,1.0,0.0626,0.9374,,
remoteclip_l14,object,jitter,basketball_court,130,0.9692,0.9646,0.0508,0.9138,,
remoteclip_l14,object,jitter,ship,254,0.9724,0.9756,0.0772,0.8984,,
remoteclip_l14,object,jitter,baseball_diamond,334,1.0,0.9934,0.097,0.8964,,
remoteclip_l14,object,jitter,tennis_court,454,0.9934,0.9916,0.1313,0.8604,,
remoteclip_l14,object,jitter,vehicle,516,0.9981,0.9946,0.1469,0.8477,,
remoteclip_l14,object,jitter,storage_tank,585,1.0,0.9993,0.175,0.8243,,
remoteclip_l14,object,jitter,airplane,656,0.9985,0.9985,0.1945,0.804,,
remoteclip_l14,context,clean,harbor,198,0.9949,0.998,0.0626,0.9354,0.998,0.9374
remoteclip_l14,context,clean,bridge,108,0.9722,0.963,0.0333,0.9296,0.9648,0.9204
remoteclip_l14,context,clean,ship,254,0.9843,0.974,0.0772,0.8969,0.974,0.878
remoteclip_l14,context,clean,ground_track_field,138,0.9565,0.9159,0.0319,0.8841,0.9159,0.8551
remoteclip_l14,context,clean,vehicle,516,1.0,1.0,0.1469,0.8531,1.0,0.2775
remoteclip_l14,context,clean,baseball_diamond,334,0.9521,0.9443,0.097,0.8473,0.9443,0.8383
remoteclip_l14,context,clean,storage_tank,585,1.0,0.9956,0.175,0.8205,0.9956,0.8055
remoteclip_l14,context,clean,tennis_court,454,0.9758,0.9485,0.1313,0.8172,0.9485,0.8
remoteclip_l14,context,clean,airplane,656,1.0,0.9994,0.1945,0.8049,0.9994,0.7774
remoteclip_l14,context,clean,basketball_court,130,0.7462,0.7246,0.0508,0.6738,0.7246,0.6815
remoteclip_l14,context,jitter,harbor,198,1.0,0.998,0.0626,0.9354,,
remoteclip_l14,context,jitter,bridge,108,0.9722,0.9611,0.0333,0.9278,,
remoteclip_l14,context,jitter,ship,254,0.9803,0.9787,0.0772,0.9016,,
remoteclip_l14,context,jitter,ground_track_field,138,0.9638,0.9072,0.0319,0.8754,,
remoteclip_l14,context,jitter,vehicle,516,1.0,1.0,0.1469,0.8531,,
remoteclip_l14,context,jitter,storage_tank,585,0.9863,0.9809,0.175,0.8058,,
remoteclip_l14,context,jitter,airplane,656,0.9985,0.9994,0.1945,0.8049,,
remoteclip_l14,context,jitter,baseball_diamond,334,0.8832,0.8928,0.097,0.7958,,
remoteclip_l14,context,jitter,tennis_court,454,0.9559,0.9264,0.1313,0.7952,,
remoteclip_l14,context,jitter,basketball_court,130,0.7,0.7123,0.0508,0.6615,,
openclip_b32,object,clean,ground_track_field,138,1.0,1.0,0.0319,0.9681,1.0,0.9391
openclip_b32,object,clean,bridge,108,0.9815,0.9778,0.0333,0.9444,0.9778,0.9333
openclip_b32,object,clean,harbor,198,0.9848,0.9838,0.0626,0.9212,0.9838,0.9232
openclip_b32,object,clean,ship,254,0.9724,0.9717,0.0772,0.8945,0.978,0.8819
openclip_b32,object,clean,baseball_diamond,334,0.982,0.9719,0.097,0.8749,0.9719,0.8659
openclip_b32,object,clean,tennis_court,454,0.9868,0.9819,0.1313,0.8507,0.9863,0.8379
openclip_b32,object,clean,vehicle,516,0.9942,0.988,0.1469,0.8411,0.9903,0.2678
openclip_b32,object,clean,storage_tank,585,1.0,0.9986,0.175,0.8236,0.9986,0.8085
openclip_b32,object,clean,basketball_court,130,0.8462,0.8677,0.0508,0.8169,0.8677,0.8246
openclip_b32,object,clean,airplane,656,0.9954,0.9957,0.1945,0.8012,0.9957,0.7738
openclip_b32,object,jitter,ground_track_field,138,1.0,0.9928,0.0319,0.9609,,
openclip_b32,object,jitter,bridge,108,0.9722,0.9759,0.0333,0.9426,,
openclip_b32,object,jitter,harbor,198,0.9697,0.9576,0.0626,0.8949,,
openclip_b32,object,jitter,baseball_diamond,334,0.9701,0.9581,0.097,0.8611,,
openclip_b32,object,jitter,ship,254,0.9567,0.9378,0.0772,0.8606,,
openclip_b32,object,jitter,tennis_court,454,0.989,0.9793,0.1313,0.848,,
openclip_b32,object,jitter,vehicle,516,0.9981,0.9888,0.1469,0.8419,,
openclip_b32,object,jitter,storage_tank,585,0.9846,0.9805,0.175,0.8055,,
openclip_b32,object,jitter,airplane,656,0.9909,0.9872,0.1945,0.7927,,
openclip_b32,object,jitter,basketball_court,130,0.8385,0.8062,0.0508,0.7554,,
openclip_b32,context,clean,harbor,198,0.9697,0.9636,0.0626,0.901,0.9636,0.903
openclip_b32,context,clean,bridge,108,0.9074,0.9148,0.0333,0.8815,0.9148,0.8704
openclip_b32,context,clean,ship,254,0.9528,0.9362,0.0772,0.8591,0.9354,0.8394
openclip_b32,context,clean,vehicle,516,1.0,0.9992,0.1469,0.8523,0.9992,0.2767
openclip_b32,context,clean,storage_tank,585,1.0,0.9962,0.175,0.8212,0.9966,0.8065
openclip_b32,context,clean,airplane,656,1.0,0.9994,0.1945,0.8049,1.0,0.778
openclip_b32,context,clean,baseball_diamond,334,0.8892,0.8713,0.097,0.7743,0.8713,0.7653
openclip_b32,context,clean,tennis_court,454,0.9119,0.8749,0.1313,0.7436,0.8749,0.7264
openclip_b32,context,clean,ground_track_field,138,0.8333,0.7594,0.0319,0.7275,0.7594,0.6986
openclip_b32,context,clean,basketball_court,130,0.5769,0.4785,0.0508,0.4277,0.4785,0.4354
openclip_b32,context,jitter,harbor,198,0.9646,0.9606,0.0626,0.898,,
openclip_b32,context,jitter,bridge,108,0.9167,0.9056,0.0333,0.8722,,
openclip_b32,context,jitter,vehicle,516,0.9942,0.9953,0.1469,0.8484,,
openclip_b32,context,jitter,ship,254,0.9567,0.9142,0.0772,0.837,,
openclip_b32,context,jitter,storage_tank,585,0.988,0.9918,0.175,0.8168,,
openclip_b32,context,jitter,airplane,656,1.0,0.9988,0.1945,0.8043,,
openclip_b32,context,jitter,ground_track_field,138,0.8333,0.7652,0.0319,0.7333,,
openclip_b32,context,jitter,baseball_diamond,334,0.8473,0.8144,0.097,0.7174,,
openclip_b32,context,jitter,tennis_court,454,0.8304,0.8348,0.1313,0.7035,,
openclip_b32,context,jitter,basketball_court,130,0.5538,0.4677,0.0508,0.4169,,
dinov2_b14,object,clean,ground_track_field,138,1.0,0.9942,0.0319,0.9623,0.9942,0.9333
dinov2_b14,object,clean,harbor,198,0.9949,0.9909,0.0626,0.9283,0.9909,0.9303
dinov2_b14,object,clean,bridge,108,0.9444,0.9593,0.0333,0.9259,0.9593,0.9148
dinov2_b14,object,clean,ship,254,0.9921,0.9724,0.0772,0.8953,0.9732,0.8772
dinov2_b14,object,clean,baseball_diamond,334,0.991,0.9916,0.097,0.8946,0.9928,0.8868
