arm,alpha,k,reject_type,feature,n_accept,n_reject,auroc
local,0.0,4.0,reject_background,sim_at_1,531,174,0.9556
local,0.0,4.0,reject_background,agreement_at_k,531,174,0.9559
local,0.0,4.0,reject_background,class_margin,531,174,0.9635
local,0.0,4.0,reject_background,evidence_margin,531,174,0.8927
local,0.0,4.0,reject_localisation,sim_at_1,531,530,0.5526
local,0.0,4.0,reject_localisation,agreement_at_k,531,530,0.5092
local,0.0,4.0,reject_localisation,class_margin,531,530,0.5216
local,0.0,4.0,reject_localisation,evidence_margin,531,530,0.5514
local,0.0,4.0,relabel,sim_at_1,531,128,0.5574
local,0.0,4.0,relabel,agreement_at_k,531,128,0.9952
local,0.0,4.0,relabel,class_margin,531,128,0.9972
local,0.0,4.0,relabel,evidence_margin,531,128,0.5928
local,0.0,4.0,adjust,sim_at_1,531,403,0.5489
local,0.0,4.0,adjust,agreement_at_k,531,403,0.5183
local,0.0,4.0,adjust,class_margin,531,403,0.5164
local,0.0,4.0,adjust,evidence_margin,531,403,0.5763
local,0.25,4.0,reject_background,sim_at_1,531,174,0.9939
local,0.25,4.0,reject_background,agreement_at_k,531,174,0.9709
local,0.25,4.0,reject_background,class_margin,531,174,0.9854
local,0.25,4.0,reject_background,evidence_margin,531,174,0.9897
local,0.25,4.0,reject_localisation,sim_at_1,531,530,0.7598
local,0.25,4.0,reject_localisation,agreement_at_k,531,530,0.5114
local,0.25,4.0,reject_localisation,class_margin,531,530,0.6234
local,0.25,4.0,reject_localisation,evidence_margin,531,530,0.8612
local,0.25,4.0,relabel,sim_at_1,531,128,0.6082
local,0.25,4.0,relabel,agreement_at_k,531,128,1.0
local,0.25,4.0,relabel,class_margin,531,128,1.0
local,0.25,4.0,relabel,evidence_margin,531,128,0.6519
local,0.25,4.0,adjust,sim_at_1,531,403,0.5974
local,0.25,4.0,adjust,agreement_at_k,531,403,0.5037
local,0.25,4.0,adjust,class_margin,531,403,0.5316
local,0.25,4.0,adjust,evidence_margin,531,403,0.6569
local,0.5,4.0,reject_background,sim_at_1,531,174,0.9981
local,0.5,4.0,reject_background,agreement_at_k,531,174,0.9741
local,0.5,4.0,reject_background,class_margin,531,174,0.9972
local,0.5,4.0,reject_background,evidence_margin,531,174,0.9985
local,0.5,4.0,reject_localisation,sim_at_1,531,530,0.8476
local,0.5,4.0,reject_localisation,agreement_at_k,531,530,0.5085
local,0.5,4.0,reject_localisation,class_margin,531,530,0.7377
local,0.5,4.0,reject_localisation,evidence_margin,531,530,0.9055
local,0.5,4.0,relabel,sim_at_1,531,128,0.6363
local,0.5,4.0,relabel,agreement_at_k,531,128,0.9961
local,0.5,4.0,relabel,class_margin,531,128,1.0
local,0.5,4.0,relabel,evidence_margin,531,128,0.6847
local,0.5,4.0,adjust,sim_at_1,531,403,0.6275
local,0.5,4.0,adjust,agreement_at_k,531,403,0.5003
local,0.5,4.0,adjust,class_margin,531,403,0.5526
local,0.5,4.0,adjust,evidence_margin,531,403,0.7091
local,0.75,4.0,reject_background,sim_at_1,531,174,0.9982
local,0.75,4.0,reject_background,agreement_at_k,531,174,0.9856
local,0.75,4.0,reject_background,class_margin,531,174,0.9998
local,0.75,4.0,reject_background,evidence_margin,531,174,0.9976
local,0.75,4.0,reject_localisation,sim_at_1,531,530,0.8825
local,0.75,4.0,reject_localisation,agreement_at_k,531,530,0.5264
local,0.75,4.0,reject_localisation,class_margin,531,530,0.8072
local,0.75,4.0,reject_localisation,evidence_margin,531,530,0.934
local,0.75,4.0,relabel,sim_at_1,531,128,0.6506
local,0.75,4.0,relabel,agreement_at_k,531,128,1.0
local,0.75,4.0,relabel,class_margin,531,128,1.0
local,0.75,4.0,relabel,evidence_margin,531,128,0.6985
local,0.75,4.0,adjust,sim_at_1,531,403,0.6494
local,0.75,4.0,adjust,agreement_at_k,531,403,0.5025
local,0.75,4.0,adjust,class_margin,531,403,0.5516
local,0.75,4.0,adjust,evidence_margin,531,403,0.7335
local,1.0,4.0,reject_background,sim_at_1,531,174,0.9811
local,1.0,4.0,reject_background,agreement_at_k,531,174,0.974
local,1.0,4.0,reject_background,class_margin,531,174,0.9973
local,1.0,4.0,reject_background,evidence_margin,531,174,0.9907
local,1.0,4.0,reject_localisation,sim_at_1,531,530,0.8924
local,1.0,4.0,reject_localisation,agreement_at_k,531,530,0.5802
local,1.0,4.0,reject_localisation,class_margin,531,530,0.7728
local,1.0,4.0,reject_localisation,evidence_margin,531,530,0.9392
local,1.0,4.0,relabel,sim_at_1,531,128,0.6805
local,1.0,4.0,relabel,agreement_at_k,531,128,1.0
local,1.0,4.0,relabel,class_margin,531,128,1.0
local,1.0,4.0,relabel,evidence_margin,531,128,0.7195
local,1.0,4.0,adjust,sim_at_1,531,403,0.6679
local,1.0,4.0,adjust,agreement_at_k,531,403,0.5015
local,1.0,4.0,adjust,class_margin,531,403,0.5179
local,1.0,4.0,adjust,evidence_margin,531,403,0.7495
local_tight,0.0,4.0,reject_background,sim_at_1,531,174,0.9556
local_tight,0.0,4.0,reject_background,agreement_at_k,531,174,0.9559
local_tight,0.0,4.0,reject_background,class_margin,531,174,0.9635
local_tight,0.0,4.0,reject_background,evidence_margin,531,174,0.8927
local_tight,0.0,4.0,reject_localisation,sim_at_1,531,530,0.5526
local_tight,0.0,4.0,reject_localisation,agreement_at_k,531,530,0.5092
local_tight,0.0,4.0,reject_localisation,class_margin,531,530,0.5216
local_tight,0.0,4.0,reject_localisation,evidence_margin,531,530,0.5514
local_tight,0.0,4.0,relabel,sim_at_1,531,128,0.5574
local_tight,0.0,4.0,relabel,agreement_at_k,531,128,0.9952
local_tight,0.0,4.0,relabel,class_margin,531,128,0.9972
local_tight,0.0,4.0,relabel,evidence_margin,531,128,0.5928
local_tight,0.0,4.0,adjust,sim_at_1,531,403,0.5489
local_tight,0.0,4.0,adjust,agreement_at_k,531,403,0.5183
local_tight,0.0,4.0,adjust,class_margin,531,403,0.5164
local_tight,0.0,4.0,adjust,evidence_margin,531,403,0.5763
local_tight,0.25,4.0,reject_background,sim_at_1,531,174,0.9921
local_tight,0.25,4.0,reject_background,agreement_at_k,531,174,0.9681
local_tight,0.25,4.0,reject_background,class_margin,531,174,0.9829
local_tight,0.25,4.0,reject_background,evidence_margin,531,174,0.9909
local_tight,0.25,4.0,reject_localisation,sim_at_1,531,530,0.7588
local_tight,0.25,4.0,reject_localisation,agreement_at_k,531,530,0.5208
local_tight,0.25,4.0,reject_localisation,class_margin,531,530,0.6492
local_tight,0.25,4.0,reject_localisation,evidence_margin,531,530,0.8813
local_tight,0.25,4.0,relabel,sim_at_1,531,128,0.606
local_tight,0.25,4.0,relabel,agreement_at_k,531,128,1.0
local_tight,0.25,4.0,relabel,class_margin,531,128,1.0
local_tight,0.25,4.0,relabel,evidence_margin,531,128,0.6517
local_tight,0.25,4.0,adjust,sim_at_1,531,403,0.6222
local_tight,0.25,4.0,adjust,agreement_at_k,531,403,0.512
local_tight,0.25,4.0,adjust,class_margin,531,403,0.5539
local_tight,0.25,4.0,adjust,evidence_margin,531,403,0.6744
local_tight,0.5,4.0,reject_background,sim_at_1,531,174,0.996
local_tight,0.5,4.0,reject_background,agreement_at_k,531,174,0.9709
local_tight,0.5,4.0,reject_background,class_margin,531,174,0.9952
local_tight,0.5,4.0,reject_background,evidence_margin,531,174,0.9948
local_tight,0.5,4.0,reject_localisation,sim_at_1,531,530,0.8539
local_tight,0.5,4.0,reject_localisation,agreement_at_k,531,530,0.518
local_tight,0.5,4.0,reject_localisation,class_margin,531,530,0.7952
