arm,alpha,k,verdict,n,feature,mean
local,0.0,4.0,accept,531,sim_at_1,0.9468
local,0.0,4.0,accept,531,agreement_at_k,0.9533
local,0.0,4.0,accept,531,class_margin,0.1021
local,0.0,4.0,accept,531,evidence_margin,-0.0019
local,0.0,4.0,adjust,403,sim_at_1,0.9433
local,0.0,4.0,adjust,403,agreement_at_k,0.9385
local,0.0,4.0,adjust,403,class_margin,0.0988
local,0.0,4.0,adjust,403,evidence_margin,-0.0041
local,0.0,4.0,reject_background,174,sim_at_1,0.8514
local,0.0,4.0,reject_background,174,agreement_at_k,0.1241
local,0.0,4.0,reject_background,174,class_margin,-0.0745
local,0.0,4.0,reject_background,174,evidence_margin,-0.0557
local,0.0,4.0,reject_localisation,530,sim_at_1,0.943
local,0.0,4.0,reject_localisation,530,agreement_at_k,0.9449
local,0.0,4.0,reject_localisation,530,class_margin,0.0981
local,0.0,4.0,reject_localisation,530,evidence_margin,-0.0033
local,0.0,4.0,relabel,128,sim_at_1,0.9428
local,0.0,4.0,relabel,128,agreement_at_k,0.0375
local,0.0,4.0,relabel,128,class_margin,-0.1339
local,0.0,4.0,relabel,128,evidence_margin,-0.004
local,0.25,4.0,accept,531,sim_at_1,0.9446
local,0.25,4.0,accept,531,agreement_at_k,0.9985
local,0.25,4.0,accept,531,class_margin,0.1165
local,0.25,4.0,accept,531,evidence_margin,0.0021
local,0.25,4.0,adjust,403,sim_at_1,0.9379
local,0.25,4.0,adjust,403,agreement_at_k,0.996
local,0.25,4.0,adjust,403,class_margin,0.1121
local,0.25,4.0,adjust,403,evidence_margin,-0.0029
local,0.25,4.0,reject_background,174,sim_at_1,0.8344
local,0.25,4.0,reject_background,174,agreement_at_k,0.1287
local,0.25,4.0,reject_background,174,class_margin,-0.0629
local,0.25,4.0,reject_background,174,evidence_margin,-0.0656
local,0.25,4.0,reject_localisation,530,sim_at_1,0.9263
local,0.25,4.0,reject_localisation,530,agreement_at_k,0.9891
local,0.25,4.0,reject_localisation,530,class_margin,0.0999
local,0.25,4.0,reject_localisation,530,evidence_margin,-0.0122
local,0.25,4.0,relabel,128,sim_at_1,0.9365
local,0.25,4.0,relabel,128,agreement_at_k,0.0031
local,0.25,4.0,relabel,128,class_margin,-0.1429
local,0.25,4.0,relabel,128,evidence_margin,-0.0032
local,0.5,4.0,accept,531,sim_at_1,0.9468
local,0.5,4.0,accept,531,agreement_at_k,0.9996
local,0.5,4.0,accept,531,class_margin,0.1242
local,0.5,4.0,accept,531,evidence_margin,0.003
local,0.5,4.0,adjust,403,sim_at_1,0.9379
local,0.5,4.0,adjust,403,agreement_at_k,0.9995
local,0.5,4.0,adjust,403,class_margin,0.1193
local,0.5,4.0,adjust,403,evidence_margin,-0.0045
local,0.5,4.0,reject_background,174,sim_at_1,0.8357
local,0.5,4.0,reject_background,174,agreement_at_k,0.1218
local,0.5,4.0,reject_background,174,class_margin,-0.0575
local,0.5,4.0,reject_background,174,evidence_margin,-0.067
local,0.5,4.0,reject_localisation,530,sim_at_1,0.9173
local,0.5,4.0,reject_localisation,530,agreement_at_k,0.9902
