arm,alpha,k,purity_at_5_on_accepts,bg95_threshold,bg95_accept_cost,auroc_background,auroc_localisation,auroc_relabel,auroc_adjust,macro_auroc
local,0.0,4.0,0.9533,0.9431,0.3842,0.9556,0.5526,0.9972,0.5489,0.7636
local,0.25,4.0,0.9985,0.9028,0.0301,0.9939,0.7598,1.0,0.5974,0.8378
local,0.5,4.0,0.9996,0.889,0.0056,0.9981,0.8476,1.0,0.6275,0.8683
local,0.75,4.0,1.0,0.9003,0.0094,0.9982,0.8825,1.0,0.6494,0.8825
local,1.0,4.0,0.9992,0.9408,0.081,0.9811,0.8924,1.0,0.6679,0.8853
local_tight,0.0,4.0,0.9533,0.9431,0.3842,0.9556,0.5526,0.9972,0.5489,0.7636
local_tight,0.25,4.0,0.9985,0.9098,0.0377,0.9921,0.7588,1.0,0.6222,0.8433
local_tight,0.5,4.0,0.9985,0.9046,0.0151,0.996,0.8539,1.0,0.6717,0.8804
local_tight,0.75,4.0,0.9989,0.9093,0.0132,0.9964,0.8956,1.0,0.7088,0.9002
local_tight,1.0,4.0,0.9962,0.9526,0.1055,0.9654,0.9019,1.0,0.7242,0.8979
local,0.5,2.0,0.9992,0.9104,0.0264,0.9953,0.861,1.0,0.6474,0.8759
local,0.5,8.0,0.9989,0.9001,0.0358,0.9933,0.8189,1.0,0.5983,0.8526
