arms,n_arms,harm,repeats,aurc,coverage_at_1%,coverage_at_1%_sd,coverage_at_5%,coverage_at_5%_sd
local,1,combined,5,0.443,0.0011,0.0,0.0011,0.0
local,1,class_error,5,0.0131,0.7751,0.0155,0.8501,0.0124
local,1,background_accept,5,0.0055,0.8997,0.0009,0.9485,0.0
local,1,localisation_accept,5,0.1674,0.0266,0.0047,0.2111,0.009
local,1,loose_box_accept,5,0.2569,0.0011,0.0,0.0011,0.0
local+tight,2,combined,5,0.4208,0.0031,0.0008,0.0031,0.0008
local+tight,2,class_error,5,0.0153,0.7304,0.028,0.837,0.0136
local+tight,2,background_accept,5,0.0056,0.9022,0.0024,0.9485,0.0
local+tight,2,localisation_accept,5,0.1561,0.0476,0.0084,0.2505,0.0222
local+tight,2,loose_box_accept,5,0.2439,0.0031,0.0008,0.0031,0.0008
local+tight+regional,3,combined,5,0.4202,0.0066,0.0018,0.0066,0.0018
local+tight+regional,3,class_error,5,0.0161,0.7207,0.0237,0.8186,0.0119
local+tight+regional,3,background_accept,5,0.0059,0.8863,0.004,0.9471,0.0003
local+tight+regional,3,localisation_accept,5,0.151,0.0875,0.0262,0.2875,0.0326
local+tight+regional,3,loose_box_accept,5,0.2472,0.0066,0.0018,0.0066,0.0018
