arms,feature,weight,weight_sd
local,evidence_margin__local,2.3155,0.1101
local,agreement_at_k__local,1.689,0.264
local,sim_at_1__local,0.4383,0.0908
local,upsample_factor,0.4174,0.0502
local,crop_stability,0.3673,0.098
local,log_area,0.337,0.0718
local,sensor_is_cir,-0.0417,0.0603
local,class_margin__local,0.0078,0.087
local+tight,evidence_margin__local_tight,1.8561,0.1083
local+tight,evidence_margin__local,1.451,0.1424
local+tight,agreement_at_k__local,1.023,0.9498
local+tight,agreement_at_k__local_tight,0.9574,0.8582
local+tight,class_margin__local,-0.5234,0.1613
local+tight,class_margin__local_tight,0.462,0.0783
local+tight,crop_stability,0.3476,0.1266
local+tight,upsample_factor,0.3158,0.1053
local+tight,sim_at_1__local,0.3089,0.1456
local+tight,log_area,0.1263,0.1099
local+tight,sensor_is_cir,-0.0655,0.0521
local+tight,sim_at_1__local_tight,-0.0234,0.0665
local+tight+regional,evidence_margin__local_tight,1.7722,0.1357
local+tight+regional,evidence_margin__local,1.3816,0.1218
local+tight+regional,agreement_at_k__local,0.9603,0.9847
local+tight+regional,agreement_at_k__local_tight,0.8889,0.8831
local+tight+regional,sim_at_1__regional_k4,-0.7541,0.2091
local+tight+regional,sim_at_1__local,0.6657,0.184
local+tight+regional,class_margin__local_tight,0.5816,0.2953
local+tight+regional,evidence_margin__regional_k4,-0.5246,0.1035
local+tight+regional,sim_at_1__local_tight,0.4115,0.137
local+tight+regional,class_margin__regional_k4,-0.3582,0.2604
local+tight+regional,crop_stability,0.2896,0.1116
local+tight+regional,class_margin__local,-0.2889,0.1322
local+tight+regional,upsample_factor,0.2838,0.0875
local+tight+regional,agreement_at_k__regional_k4,0.1365,0.1114
local+tight+regional,log_area,0.0759,0.0851
local+tight+regional,sensor_is_cir,-0.0413,0.0875
