baseline,harm,n_harmful,aurc,coverage_at_1%,coverage_at_5%
B0_confidence,combined,305,0.1299,0.0291,0.1593
B0_confidence,class_error,0,0.0,1.0,1.0
B0_confidence,background_accept,189,0.052,0.5512,0.6903
B0_confidence,localisation_accept,41,0.0118,0.6789,0.9684
B0_confidence,loose_box_accept,75,0.0661,0.0291,0.1593
B2_logreg,combined,305,0.255,0.0038,0.0038
B2_logreg,class_error,0,0.0,1.0,1.0
B2_logreg,background_accept,189,0.1532,0.0038,0.0038
B2_logreg,localisation_accept,41,0.021,0.2541,0.9507
B2_logreg,loose_box_accept,75,0.0808,0.0405,0.1593
B2_real_fit,combined,305,0.1343,0.0051,0.2491
B2_real_fit,class_error,0,0.0,1.0,1.0
B2_real_fit,background_accept,189,0.057,0.2857,0.6991
B2_real_fit,localisation_accept,41,0.0113,0.6979,0.9621
B2_real_fit,loose_box_accept,75,0.0661,0.1429,0.3679
B2_no_evidence_margin,combined,305,0.2078,0.0,0.0
B2_no_evidence_margin,class_error,0,0.0,1.0,1.0
B2_no_evidence_margin,background_accept,189,0.1123,0.0,0.2592
B2_no_evidence_margin,localisation_accept,41,0.0245,0.2023,0.9406
B2_no_evidence_margin,loose_box_accept,75,0.0709,0.0518,0.2882
