proposal_id,verdict,predicted_class,verified_class,b2_score,vlm_p_yes
jitter:nwpu_positive_022_011,relabel,storage_tank,airplane,0.020482,0.055908
jitter_low:nwpu_positive_038_011,reject_localisation,airplane,airplane,0.020303,0.917573
jitter_low:nwpu_positive_563_001,reject_localisation,airplane,airplane,0.0203,0.76176
jitter_low:nwpu_positive_309_010,reject_localisation,storage_tank,storage_tank,0.020209,0.134553
jitter_low:nwpu_positive_252_000,reject_localisation,ground_track_field,ground_track_field,0.019843,0.794923
jitter_low:nwpu_positive_589_001,reject_localisation,baseball_diamond,baseball_diamond,0.019432,0.02717
jitter_low:nwpu_positive_318_008,reject_localisation,storage_tank,storage_tank,0.019276,0.076848
jitter_low:nwpu_positive_038_013,reject_localisation,airplane,airplane,0.018308,0.825624
jitter_low:nwpu_positive_044_009,reject_localisation,airplane,airplane,0.018271,0.87188
jitter_low:nwpu_positive_607_006,reject_localisation,tennis_court,tennis_court,0.018224,0.013005
jitter_low:nwpu_positive_035_002,reject_localisation,airplane,airplane,0.01795,0.561028
jitter:nwpu_positive_544_000,relabel,baseball_diamond,bridge,0.017888,0.088137
jitter:nwpu_positive_035_007,adjust,airplane,airplane,0.017839,0.481115
jitter_low:nwpu_positive_035_013,reject_localisation,airplane,airplane,0.017765,0.021516
jitter_low:nwpu_positive_009_003,reject_localisation,airplane,airplane,0.017711,0.874195
jitter_low:nwpu_positive_145_004,reject_localisation,tennis_court,tennis_court,0.017558,0.046451
jitter_low:nwpu_positive_220_000,reject_localisation,ground_track_field,ground_track_field,0.017422,0.422407
jitter_low:nwpu_positive_309_006,reject_localisation,storage_tank,storage_tank,0.017346,0.108668
jitter_low:nwpu_positive_648_000,reject_localisation,baseball_diamond,baseball_diamond,0.017224,0.059492
jitter_low:nwpu_positive_316_006,reject_localisation,storage_tank,storage_tank,0.017177,0.246774
jitter_low:nwpu_positive_048_006,reject_localisation,airplane,airplane,0.017118,0.136748
jitter_low:nwpu_positive_500_003,reject_localisation,ship,ship,0.017009,0.902772
jitter:nwpu_positive_180_000,adjust,bridge,bridge,0.01695,0.969261
jitter_low:nwpu_positive_308_009,reject_localisation,storage_tank,storage_tank,0.016776,0.120609
jitter_low:nwpu_positive_350_001,reject_localisation,tennis_court,tennis_court,0.016719,0.842358
jitter_low:nwpu_positive_563_008,reject_localisation,airplane,airplane,0.016656,0.807837
jitter_low:nwpu_positive_006_004,reject_localisation,airplane,airplane,0.016224,0.805725
jitter_low:nwpu_positive_252_002,reject_localisation,tennis_court,tennis_court,0.016172,0.011182
jitter:nwpu_positive_431_006,relabel,ship,vehicle,0.016065,0.012204
jitter:nwpu_positive_308_016,adjust,storage_tank,storage_tank,0.015987,0.223731
jitter_low:nwpu_positive_081_004,reject_localisation,tennis_court,tennis_court,0.015973,0.824067
jitter_low:nwpu_positive_563_002,reject_localisation,airplane,airplane,0.015909,0.714249
jitter_low:nwpu_positive_549_000,reject_localisation,baseball_diamond,baseball_diamond,0.015752,0.037112
jitter_low:nwpu_positive_058_003,reject_localisation,airplane,airplane,0.015222,0.871389
jitter_low:nwpu_positive_114_000,reject_localisation,baseball_diamond,baseball_diamond,0.014907,0.120056
jitter:nwpu_positive_400_001,adjust,vehicle,vehicle,0.014882,0.098762
jitter_low:nwpu_positive_044_018,reject_localisation,airplane,airplane,0.014879,0.865427
jitter_low:nwpu_positive_584_004,reject_localisation,baseball_diamond,baseball_diamond,0.014782,0.018649
jitter:nwpu_positive_504_001,relabel,harbor,ship,0.014671,0.038003
jitter_low:nwpu_positive_038_006,reject_localisation,airplane,airplane,0.014625,0.37831
jitter_low:nwpu_positive_489_004,reject_localisation,tennis_court,tennis_court,0.01455,0.83058
jitter_low:nwpu_positive_308_017,reject_localisation,storage_tank,storage_tank,0.014501,0.0866
jitter:nwpu_positive_112_000,relabel,ground_track_field,baseball_diamond,0.014483,0.701836
jitter:nwpu_positive_607_003,relabel,basketball_court,tennis_court,0.013973,0.081032
jitter:nwpu_positive_009_005,relabel,vehicle,airplane,0.013915,0.846751
jitter_low:nwpu_positive_022_013,reject_localisation,airplane,airplane,0.013846,0.136686
jitter_low:nwpu_positive_504_007,reject_localisation,ship,ship,0.013737,0.704968
jitter:nwpu_positive_309_014,adjust,storage_tank,storage_tank,0.013724,0.133826
jitter:nwpu_positive_318_005,adjust,storage_tank,storage_tank,0.013649,0.054139
jitter_low:nwpu_positive_252_003,reject_localisation,tennis_court,tennis_court,0.013487,0.076512
jitter_low:nwpu_positive_044_013,reject_localisation,airplane,airplane,0.01346,0.579725
jitter_low:nwpu_positive_112_007,reject_localisation,baseball_diamond,baseball_diamond,0.013251,0.942181
jitter_low:nwpu_positive_489_005,reject_localisation,basketball_court,basketball_court,0.013143,0.726765
jitter_low:nwpu_positive_377_001,reject_localisation,vehicle,vehicle,0.013138,0.917669
jitter:nwpu_positive_566_001,relabel,tennis_court,baseball_diamond,0.012995,0.047573
jitter_low:nwpu_positive_309_002,reject_localisation,storage_tank,storage_tank,0.01291,0.068753
jitter_low:nwpu_positive_639_001,reject_localisation,baseball_diamond,baseball_diamond,0.01283,0.930016
jitter:nwpu_positive_259_001,relabel,ground_track_field,baseball_diamond,0.012643,0.580513
jitter_low:nwpu_positive_519_005,reject_localisation,ship,ship,0.012606,0.828811
jitter_low:nwpu_positive_058_005,reject_localisation,airplane,airplane,0.012522,0.179964
jitter:nwpu_positive_022_012,relabel,tennis_court,airplane,0.012433,0.010553
jitter_low:nwpu_positive_241_000,reject_localisation,ground_track_field,ground_track_field,0.012402,0.794777
jitter_low:nwpu_positive_180_000,reject_localisation,bridge,bridge,0.01239,0.739167
jitter_low:nwpu_positive_022_012,reject_localisation,airplane,airplane,0.012346,0.17707
jitter:nwpu_positive_044_002,relabel,storage_tank,airplane,0.012264,0.045617
jitter:nwpu_positive_308_011,adjust,storage_tank,storage_tank,0.01226,0.076869
jitter_low:nwpu_positive_316_010,reject_localisation,storage_tank,storage_tank,0.0122,0.323971
jitter_low:nwpu_positive_022_008,reject_localisation,airplane,airplane,0.012164,0.894141
jitter_low:nwpu_positive_038_004,reject_localisation,airplane,airplane,0.012129,0.742887
jitter_low:nwpu_positive_414_007,reject_localisation,vehicle,vehicle,0.012109,0.473647
jitter:nwpu_positive_044_023,adjust,airplane,airplane,0.012007,0.931919
jitter_low:nwpu_positive_400_001,reject_localisation,vehicle,vehicle,0.011849,0.844577
jitter_low:nwpu_positive_318_010,reject_localisation,storage_tank,storage_tank,0.011671,0.050247
jitter:nwpu_positive_430_011,relabel,ship,vehicle,0.011637,0.016999
jitter_low:nwpu_positive_589_003,reject_localisation,baseball_diamond,baseball_diamond,0.011566,0.011597
jitter_low:nwpu_positive_309_009,reject_localisation,storage_tank,storage_tank,0.011546,0.069109
jitter:nwpu_positive_075_003,relabel,storage_tank,airplane,0.011498,0.036273
jitter_low:nwpu_positive_503_004,reject_localisation,ship,ship,0.011485,0.299156
jitter:nwpu_positive_493_001,relabel,baseball_diamond,tennis_court,0.011467,0.140023
jitter:nwpu_positive_580_002,relabel,ground_track_field,baseball_diamond,0.01146,0.733861
jitter_low:nwpu_positive_035_007,reject_localisation,airplane,airplane,0.011398,0.805078
jitter_low:nwpu_positive_022_016,reject_localisation,airplane,airplane,0.011264,0.249698
jitter:nwpu_positive_252_000,adjust,ground_track_field,ground_track_field,0.01109,0.890348
jitter_low:nwpu_positive_431_015,reject_localisation,vehicle,vehicle,0.010964,0.108055
jitter_low:nwpu_positive_308_014,reject_localisation,storage_tank,storage_tank,0.0108,0.77562
jitter_low:nwpu_positive_308_018,reject_localisation,storage_tank,storage_tank,0.010683,0.702117
jitter_low:nwpu_positive_309_001,reject_localisation,ship,ship,0.010627,0.380496
