proposal_id,verdict,predicted_class,verified_class,b2_score,vlm_p_yes
jitter:nwpu_positive_022_011,relabel,storage_tank,airplane,0.020482,0.0
jitter_low:nwpu_positive_038_011,reject_localisation,airplane,airplane,0.020303,0.999993
jitter_low:nwpu_positive_563_001,reject_localisation,airplane,airplane,0.0203,1.0
jitter_low:nwpu_positive_309_010,reject_localisation,storage_tank,storage_tank,0.020209,0.999999
jitter_low:nwpu_positive_252_000,reject_localisation,ground_track_field,ground_track_field,0.019843,1.0
jitter_low:nwpu_positive_589_001,reject_localisation,baseball_diamond,baseball_diamond,0.019432,0.999995
jitter_low:nwpu_positive_318_008,reject_localisation,storage_tank,storage_tank,0.019276,0.999998
jitter_low:nwpu_positive_038_013,reject_localisation,airplane,airplane,0.018308,0.999999
jitter_low:nwpu_positive_044_009,reject_localisation,airplane,airplane,0.018271,1.0
jitter_low:nwpu_positive_607_006,reject_localisation,tennis_court,tennis_court,0.018224,0.999996
jitter_low:nwpu_positive_035_002,reject_localisation,airplane,airplane,0.01795,0.999999
jitter:nwpu_positive_544_000,relabel,baseball_diamond,bridge,0.017888,2e-06
jitter:nwpu_positive_035_007,adjust,airplane,airplane,0.017839,0.999999
jitter_low:nwpu_positive_035_013,reject_localisation,airplane,airplane,0.017765,0.999993
jitter_low:nwpu_positive_009_003,reject_localisation,airplane,airplane,0.017711,0.999991
jitter_low:nwpu_positive_145_004,reject_localisation,tennis_court,tennis_court,0.017558,1.0
jitter_low:nwpu_positive_220_000,reject_localisation,ground_track_field,ground_track_field,0.017422,0.999997
jitter_low:nwpu_positive_309_006,reject_localisation,storage_tank,storage_tank,0.017346,0.999995
jitter_low:nwpu_positive_648_000,reject_localisation,baseball_diamond,baseball_diamond,0.017224,0.999999
jitter_low:nwpu_positive_316_006,reject_localisation,storage_tank,storage_tank,0.017177,0.999977
jitter_low:nwpu_positive_048_006,reject_localisation,airplane,airplane,0.017118,0.999999
jitter_low:nwpu_positive_500_003,reject_localisation,ship,ship,0.017009,0.999999
jitter:nwpu_positive_180_000,adjust,bridge,bridge,0.01695,1.0
jitter_low:nwpu_positive_308_009,reject_localisation,storage_tank,storage_tank,0.016776,1.0
jitter_low:nwpu_positive_350_001,reject_localisation,tennis_court,tennis_court,0.016719,1.0
jitter_low:nwpu_positive_563_008,reject_localisation,airplane,airplane,0.016656,1.0
jitter_low:nwpu_positive_006_004,reject_localisation,airplane,airplane,0.016224,0.999999
jitter_low:nwpu_positive_252_002,reject_localisation,tennis_court,tennis_court,0.016172,0.999958
jitter:nwpu_positive_431_006,relabel,ship,vehicle,0.016065,0.0
jitter:nwpu_positive_308_016,adjust,storage_tank,storage_tank,0.015987,0.999985
jitter_low:nwpu_positive_081_004,reject_localisation,tennis_court,tennis_court,0.015973,1.0
jitter_low:nwpu_positive_563_002,reject_localisation,airplane,airplane,0.015909,1.0
jitter_low:nwpu_positive_549_000,reject_localisation,baseball_diamond,baseball_diamond,0.015752,0.999998
jitter_low:nwpu_positive_058_003,reject_localisation,airplane,airplane,0.015222,1.0
jitter_low:nwpu_positive_114_000,reject_localisation,baseball_diamond,baseball_diamond,0.014907,0.999989
jitter:nwpu_positive_400_001,adjust,vehicle,vehicle,0.014882,0.999998
jitter_low:nwpu_positive_044_018,reject_localisation,airplane,airplane,0.014879,1.0
jitter_low:nwpu_positive_584_004,reject_localisation,baseball_diamond,baseball_diamond,0.014782,1.0
jitter:nwpu_positive_504_001,relabel,harbor,ship,0.014671,3e-06
jitter_low:nwpu_positive_038_006,reject_localisation,airplane,airplane,0.014625,0.999997
jitter_low:nwpu_positive_489_004,reject_localisation,tennis_court,tennis_court,0.01455,1.0
jitter_low:nwpu_positive_308_017,reject_localisation,storage_tank,storage_tank,0.014501,1.0
jitter:nwpu_positive_112_000,relabel,ground_track_field,baseball_diamond,0.014483,0.0
jitter:nwpu_positive_607_003,relabel,basketball_court,tennis_court,0.013973,4e-06
jitter:nwpu_positive_009_005,relabel,vehicle,airplane,0.013915,0.999999
jitter_low:nwpu_positive_022_013,reject_localisation,airplane,airplane,0.013846,1.0
jitter_low:nwpu_positive_504_007,reject_localisation,ship,ship,0.013737,0.999988
jitter:nwpu_positive_309_014,adjust,storage_tank,storage_tank,0.013724,0.999986
jitter:nwpu_positive_318_005,adjust,storage_tank,storage_tank,0.013649,0.999999
jitter_low:nwpu_positive_252_003,reject_localisation,tennis_court,tennis_court,0.013487,0.999989
jitter_low:nwpu_positive_044_013,reject_localisation,airplane,airplane,0.01346,0.999975
jitter_low:nwpu_positive_112_007,reject_localisation,baseball_diamond,baseball_diamond,0.013251,0.999999
jitter_low:nwpu_positive_489_005,reject_localisation,basketball_court,basketball_court,0.013143,1.0
jitter_low:nwpu_positive_377_001,reject_localisation,vehicle,vehicle,0.013138,0.999997
jitter:nwpu_positive_566_001,relabel,tennis_court,baseball_diamond,0.012995,0.0
jitter_low:nwpu_positive_309_002,reject_localisation,storage_tank,storage_tank,0.01291,0.999998
jitter_low:nwpu_positive_639_001,reject_localisation,baseball_diamond,baseball_diamond,0.01283,1.0
jitter:nwpu_positive_259_001,relabel,ground_track_field,baseball_diamond,0.012643,0.0
jitter_low:nwpu_positive_519_005,reject_localisation,ship,ship,0.012606,0.999999
jitter_low:nwpu_positive_058_005,reject_localisation,airplane,airplane,0.012522,0.999987
jitter:nwpu_positive_022_012,relabel,tennis_court,airplane,0.012433,1e-06
jitter_low:nwpu_positive_241_000,reject_localisation,ground_track_field,ground_track_field,0.012402,0.999998
jitter_low:nwpu_positive_180_000,reject_localisation,bridge,bridge,0.01239,0.999999
jitter_low:nwpu_positive_022_012,reject_localisation,airplane,airplane,0.012346,0.999991
jitter:nwpu_positive_044_002,relabel,storage_tank,airplane,0.012264,0.0
jitter:nwpu_positive_308_011,adjust,storage_tank,storage_tank,0.01226,0.999998
jitter_low:nwpu_positive_316_010,reject_localisation,storage_tank,storage_tank,0.0122,0.99999
jitter_low:nwpu_positive_022_008,reject_localisation,airplane,airplane,0.012164,1.0
jitter_low:nwpu_positive_038_004,reject_localisation,airplane,airplane,0.012129,1.0
jitter_low:nwpu_positive_414_007,reject_localisation,vehicle,vehicle,0.012109,0.999996
jitter:nwpu_positive_044_023,adjust,airplane,airplane,0.012007,0.999999
jitter_low:nwpu_positive_400_001,reject_localisation,vehicle,vehicle,0.011849,0.999996
jitter_low:nwpu_positive_318_010,reject_localisation,storage_tank,storage_tank,0.011671,0.999999
