proposal_id,verdict,predicted_class,verified_class,b2_score,vlm_p_yes
jitter:nwpu_positive_022_011,relabel,storage_tank,airplane,0.020482,0.2227
jitter_low:nwpu_positive_038_011,reject_localisation,airplane,airplane,0.020303,0.878693
jitter_low:nwpu_positive_563_001,reject_localisation,airplane,airplane,0.0203,0.67776
jitter_low:nwpu_positive_309_010,reject_localisation,storage_tank,storage_tank,0.020209,0.55925
jitter_low:nwpu_positive_252_000,reject_localisation,ground_track_field,ground_track_field,0.019843,0.898985
jitter_low:nwpu_positive_589_001,reject_localisation,baseball_diamond,baseball_diamond,0.019432,0.150434
jitter_low:nwpu_positive_318_008,reject_localisation,storage_tank,storage_tank,0.019276,0.561511
jitter_low:nwpu_positive_038_013,reject_localisation,airplane,airplane,0.018308,0.969184
jitter_low:nwpu_positive_044_009,reject_localisation,airplane,airplane,0.018271,0.773582
jitter_low:nwpu_positive_607_006,reject_localisation,tennis_court,tennis_court,0.018224,0.440127
jitter_low:nwpu_positive_035_002,reject_localisation,airplane,airplane,0.01795,0.620259
jitter:nwpu_positive_544_000,relabel,baseball_diamond,bridge,0.017888,0.026783
jitter:nwpu_positive_035_007,adjust,airplane,airplane,0.017839,0.913529
jitter_low:nwpu_positive_035_013,reject_localisation,airplane,airplane,0.017765,0.32178
jitter_low:nwpu_positive_009_003,reject_localisation,airplane,airplane,0.017711,0.223024
jitter_low:nwpu_positive_145_004,reject_localisation,tennis_court,tennis_court,0.017558,0.678012
jitter_low:nwpu_positive_220_000,reject_localisation,ground_track_field,ground_track_field,0.017422,0.499324
jitter_low:nwpu_positive_309_006,reject_localisation,storage_tank,storage_tank,0.017346,0.499236
jitter_low:nwpu_positive_648_000,reject_localisation,baseball_diamond,baseball_diamond,0.017224,0.120076
jitter_low:nwpu_positive_316_006,reject_localisation,storage_tank,storage_tank,0.017177,0.5
jitter_low:nwpu_positive_048_006,reject_localisation,airplane,airplane,0.017118,0.377541
jitter_low:nwpu_positive_500_003,reject_localisation,ship,ship,0.017009,0.620259
jitter:nwpu_positive_180_000,adjust,bridge,bridge,0.01695,0.949934
jitter_low:nwpu_positive_308_009,reject_localisation,storage_tank,storage_tank,0.016776,0.562176
jitter_low:nwpu_positive_350_001,reject_localisation,tennis_court,tennis_court,0.016719,0.815065
jitter_low:nwpu_positive_563_008,reject_localisation,airplane,airplane,0.016656,0.929878
jitter_low:nwpu_positive_006_004,reject_localisation,airplane,airplane,0.016224,0.969879
