proposal_id,verdict,predicted_class,verified_class,b2_score,vlm_p_yes
jitter:nwpu_positive_022_011,relabel,storage_tank,airplane,0.020482,0.047534
jitter_low:nwpu_positive_038_011,reject_localisation,airplane,airplane,0.020303,0.968007
jitter_low:nwpu_positive_563_001,reject_localisation,airplane,airplane,0.0203,0.886761
jitter_low:nwpu_positive_309_010,reject_localisation,storage_tank,storage_tank,0.020209,0.749468
jitter_low:nwpu_positive_252_000,reject_localisation,ground_track_field,ground_track_field,0.019843,0.945446
jitter_low:nwpu_positive_589_001,reject_localisation,baseball_diamond,baseball_diamond,0.019432,0.437824
jitter_low:nwpu_positive_318_008,reject_localisation,storage_tank,storage_tank,0.019276,0.71996
jitter_low:nwpu_positive_038_013,reject_localisation,airplane,airplane,0.018308,0.985323
jitter_low:nwpu_positive_044_009,reject_localisation,airplane,airplane,0.018271,0.899306
jitter_low:nwpu_positive_607_006,reject_localisation,tennis_court,tennis_court,0.018224,0.745449
jitter_low:nwpu_positive_035_002,reject_localisation,airplane,airplane,0.01795,0.723708
jitter:nwpu_positive_544_000,relabel,baseball_diamond,bridge,0.017888,0.012666
jitter:nwpu_positive_035_007,adjust,airplane,airplane,0.017839,0.948408
jitter_low:nwpu_positive_035_013,reject_localisation,airplane,airplane,0.017765,0.674439
jitter_low:nwpu_positive_009_003,reject_localisation,airplane,airplane,0.017711,0.437824
jitter_low:nwpu_positive_145_004,reject_localisation,tennis_court,tennis_court,0.017558,0.925059
jitter_low:nwpu_positive_220_000,reject_localisation,ground_track_field,ground_track_field,0.017422,0.461364
jitter_low:nwpu_positive_309_006,reject_localisation,storage_tank,storage_tank,0.017346,0.702128
jitter_low:nwpu_positive_648_000,reject_localisation,baseball_diamond,baseball_diamond,0.017224,0.32509
jitter_low:nwpu_positive_316_006,reject_localisation,storage_tank,storage_tank,0.017177,0.806561
jitter_low:nwpu_positive_048_006,reject_localisation,airplane,airplane,0.017118,0.643756
jitter_low:nwpu_positive_500_003,reject_localisation,ship,ship,0.017009,0.893309
