proposal_id,image_uid,predicted_class,verified_class,detector_confidence,verdict,iou,xmin,ymin,xmax,ymax
detector:nwpu_background_035_det000,nwpu_background_035,vehicle,,0.07150159031152725,reject_background,0.0,385,90,425,125
detector:nwpu_background_053_det000,nwpu_background_053,ship,,0.18959273397922516,reject_background,0.0,87,384,154,429
detector:nwpu_background_053_det001,nwpu_background_053,bridge,,0.05526365339756012,reject_background,0.0,0,503,74,563
detector:nwpu_background_096_det000,nwpu_background_096,bridge,,0.056784797459840775,reject_background,0.0,832,186,916,334
detector:nwpu_background_107_det000,nwpu_background_107,bridge,,0.08761604875326157,reject_background,0.0,641,176,789,361
detector:nwpu_background_114_det000,nwpu_background_114,harbor,,0.30582842230796814,reject_background,0.0,155,199,194,314
detector:nwpu_background_114_det001,nwpu_background_114,harbor,,0.11126020550727844,reject_background,0.0,120,434,175,548
detector:nwpu_background_116_det000,nwpu_background_116,baseball_diamond,,0.619670033454895,reject_background,0.0,343,67,410,123
detector:nwpu_background_116_det001,nwpu_background_116,baseball_diamond,,0.1966131180524826,reject_background,0.0,231,41,304,97
detector:nwpu_background_120_det000,nwpu_background_120,storage_tank,,0.06002923473715782,reject_background,0.0,2,461,37,494
detector:nwpu_background_125_det000,nwpu_background_125,ship,,0.11469194293022156,reject_background,0.0,985,0,1003,53
detector:nwpu_background_142_det000,nwpu_background_142,baseball_diamond,,0.10096057504415512,reject_background,0.0,0,403,18,448
detector:nwpu_positive_005_det000,nwpu_positive_005,airplane,airplane,0.9197072982788086,accept,0.7805,608,142,675,202
detector:nwpu_positive_005_det001,nwpu_positive_005,airplane,airplane,0.8856370449066162,accept,0.83,402,593,446,637
detector:nwpu_positive_006_det000,nwpu_positive_006,airplane,airplane,0.9766750335693359,accept,0.8913,480,701,543,769
detector:nwpu_positive_006_det001,nwpu_positive_006,airplane,airplane,0.9326128363609314,accept,0.862,657,64,757,149
detector:nwpu_positive_006_det002,nwpu_positive_006,airplane,airplane,0.9324496388435364,accept,0.8229,136,411,190,472
detector:nwpu_positive_006_det003,nwpu_positive_006,airplane,airplane,0.9178492426872253,accept,0.7007,323,563,382,622
detector:nwpu_positive_006_det004,nwpu_positive_006,airplane,airplane,0.9075449109077454,accept,0.9231,446,323,536,431
detector:nwpu_positive_006_det005,nwpu_positive_006,airplane,airplane,0.8241265416145325,accept,0.8041,302,419,350,470
detector:nwpu_positive_006_det006,nwpu_positive_006,airplane,airplane,0.7120378017425537,accept,0.9115,370,361,415,417
detector:nwpu_positive_006_det007,nwpu_positive_006,airplane,airplane,0.662090539932251,accept,0.9051,610,168,706,253
detector:nwpu_positive_009_det000,nwpu_positive_009,airplane,airplane,0.9724340438842773,accept,0.8961,554,517,608,579
detector:nwpu_positive_009_det001,nwpu_positive_009,airplane,airplane,0.9223006963729858,accept,0.9109,169,184,235,240
detector:nwpu_positive_009_det002,nwpu_positive_009,airplane,airplane,0.9173799753189087,accept,0.8014,633,509,677,561
detector:nwpu_positive_009_det003,nwpu_positive_009,airplane,airplane,0.8433481454849243,accept,0.8325,720,223,791,290
detector:nwpu_positive_009_det004,nwpu_positive_009,airplane,airplane,0.8196797370910645,accept,0.844,425,148,456,175
detector:nwpu_positive_009_det005,nwpu_positive_009,airplane,airplane,0.8099648356437683,accept,0.8814,650,75,694,121
detector:nwpu_positive_010_det000,nwpu_positive_010,airplane,airplane,0.9476656913757324,accept,0.7694,224,49,268,97
detector:nwpu_positive_010_det001,nwpu_positive_010,airplane,airplane,0.9248355627059937,accept,0.8305,443,631,497,680
detector:nwpu_positive_010_det002,nwpu_positive_010,airplane,airplane,0.9131282567977905,accept,0.8234,213,347,265,396
detector:nwpu_positive_010_det003,nwpu_positive_010,airplane,airplane,0.8931136131286621,accept,0.927,847,77,929,150
detector:nwpu_positive_010_det004,nwpu_positive_010,airplane,airplane,0.8817798495292664,accept,0.9155,660,486,738,565
detector:nwpu_positive_010_det005,nwpu_positive_010,airplane,airplane,0.8649609684944153,accept,0.7934,149,254,199,295
detector:nwpu_positive_015_det000,nwpu_positive_015,airplane,airplane,0.952369213104248,accept,0.9243,736,29,822,117
detector:nwpu_positive_015_det001,nwpu_positive_015,airplane,airplane,0.920593798160553,accept,0.9124,776,342,873,437
detector:nwpu_positive_015_det002,nwpu_positive_015,airplane,airplane,0.9128690361976624,accept,0.8833,635,24,724,126
detector:nwpu_positive_015_det003,nwpu_positive_015,airplane,airplane,0.9001144766807556,accept,0.8253,394,486,507,583
detector:nwpu_positive_015_det004,nwpu_positive_015,airplane,airplane,0.8874709606170654,accept,0.826,150,290,234,391
detector:nwpu_positive_015_det005,nwpu_positive_015,airplane,airplane,0.8871325850486755,accept,0.8056,539,32,626,132
detector:nwpu_positive_015_det006,nwpu_positive_015,airplane,airplane,0.8464045524597168,accept,0.7911,54,296,151,397
detector:nwpu_positive_022_det000,nwpu_positive_022,airplane,airplane,0.9675539135932922,accept,0.9585,989,250,1055,322
detector:nwpu_positive_022_det001,nwpu_positive_022,airplane,airplane,0.9537277817726135,accept,0.9125,736,333,797,401
detector:nwpu_positive_022_det002,nwpu_positive_022,airplane,airplane,0.9516497850418091,accept,0.8587,630,261,699,333
detector:nwpu_positive_022_det003,nwpu_positive_022,airplane,airplane,0.9449889063835144,accept,0.8466,520,118,582,183
detector:nwpu_positive_022_det004,nwpu_positive_022,airplane,airplane,0.9422891736030579,accept,0.817,35,308,97,373
detector:nwpu_positive_022_det005,nwpu_positive_022,airplane,airplane,0.936711847782135,accept,0.782,330,141,384,194
detector:nwpu_positive_022_det006,nwpu_positive_022,airplane,airplane,0.9311964511871338,accept,0.8369,763,113,826,179
detector:nwpu_positive_022_det007,nwpu_positive_022,airplane,airplane,0.9255138039588928,accept,0.8575,232,130,304,210
detector:nwpu_positive_022_det008,nwpu_positive_022,airplane,airplane,0.9210831522941589,adjust,0.6916,1016,13,1071,64
detector:nwpu_positive_022_det009,nwpu_positive_022,airplane,airplane,0.9188542366027832,accept,0.8144,245,285,320,362
detector:nwpu_positive_022_det010,nwpu_positive_022,airplane,airplane,0.9164514541625977,accept,0.7284,1070,251,1129,319
detector:nwpu_positive_022_det011,nwpu_positive_022,airplane,airplane,0.9084212779998779,accept,0.9069,168,142,224,203
detector:nwpu_positive_022_det012,nwpu_positive_022,airplane,airplane,0.9044548273086548,accept,0.8262,1026,99,1079,154
detector:nwpu_positive_022_det013,nwpu_positive_022,airplane,airplane,0.9029353260993958,accept,0.8278,882,368,967,432
detector:nwpu_positive_022_det014,nwpu_positive_022,airplane,airplane,0.8999487161636353,accept,0.9441,541,268,608,343
detector:nwpu_positive_022_det015,nwpu_positive_022,airplane,airplane,0.8549745082855225,accept,0.7711,31,150,85,212
detector:nwpu_positive_022_det016,nwpu_positive_022,airplane,airplane,0.851473331451416,accept,0.8582,341,283,402,351
detector:nwpu_positive_022_det017,nwpu_positive_022,airplane,,0.14757497608661652,reject_background,0.0,871,99,902,124
detector:nwpu_positive_022_det018,nwpu_positive_022,airplane,,0.1105663999915123,reject_background,0.0,638,115,667,146
detector:nwpu_positive_022_det019,nwpu_positive_022,airplane,,0.10443361103534698,reject_background,0.0,881,310,909,337
detector:nwpu_positive_022_det020,nwpu_positive_022,airplane,airplane,0.09257195144891739,reject_localisation,0.0272,970,309,998,334
detector:nwpu_positive_022_det021,nwpu_positive_022,airplane,,0.07790370285511017,reject_background,0.0,454,138,491,171
detector:nwpu_positive_022_det022,nwpu_positive_022,airplane,,0.05653984099626541,reject_background,0.0,0,175,23,257
detector:nwpu_positive_035_det000,nwpu_positive_035,airplane,airplane,0.9562594294548035,accept,0.873,710,419,793,494
detector:nwpu_positive_035_det001,nwpu_positive_035,airplane,airplane,0.9432015419006348,accept,0.832,245,129,329,203
detector:nwpu_positive_035_det002,nwpu_positive_035,airplane,airplane,0.9238154292106628,accept,0.9117,243,415,340,492
detector:nwpu_positive_035_det003,nwpu_positive_035,airplane,airplane,0.9235233068466187,accept,0.8198,84,48,180,132
detector:nwpu_positive_035_det004,nwpu_positive_035,airplane,airplane,0.9215571880340576,accept,0.8179,238,34,315,109
detector:nwpu_positive_035_det005,nwpu_positive_035,airplane,airplane,0.9198775291442871,accept,0.7633,712,311,794,378
detector:nwpu_positive_035_det006,nwpu_positive_035,airplane,airplane,0.9161078333854675,accept,0.8017,935,514,1018,595
detector:nwpu_positive_035_det007,nwpu_positive_035,airplane,airplane,0.913564145565033,accept,0.8119,66,323,157,395
detector:nwpu_positive_035_det008,nwpu_positive_035,airplane,airplane,0.909267008304596,accept,0.9277,480,513,561,589
detector:nwpu_positive_035_det009,nwpu_positive_035,airplane,airplane,0.9066658020019531,accept,0.7923,930,120,1023,191
detector:nwpu_positive_035_det010,nwpu_positive_035,airplane,airplane,0.9066413044929504,accept,0.8186,943,212,1023,285
detector:nwpu_positive_035_det011,nwpu_positive_035,airplane,airplane,0.9009875059127808,accept,0.766,476,417,561,488
detector:nwpu_positive_035_det012,nwpu_positive_035,airplane,airplane,0.8977354764938354,accept,0.8612,243,514,336,588
detector:nwpu_positive_035_det013,nwpu_positive_035,airplane,airplane,0.8977342844009399,accept,0.8946,712,117,793,193
detector:nwpu_positive_035_det014,nwpu_positive_035,airplane,airplane,0.8929071426391602,accept,0.812,243,226,338,297
detector:nwpu_positive_035_det015,nwpu_positive_035,airplane,airplane,0.883324921131134,accept,0.8628,68,231,160,304
detector:nwpu_positive_035_det016,nwpu_positive_035,airplane,airplane,0.8656145334243774,accept,0.8931,242,317,312,393
detector:nwpu_positive_035_det017,nwpu_positive_035,airplane,airplane,0.8583488464355469,accept,0.8311,717,19,781,94
detector:nwpu_positive_035_det018,nwpu_positive_035,airplane,airplane,0.8417516946792603,accept,0.7297,939,312,1019,381
detector:nwpu_positive_035_det019,nwpu_positive_035,airplane,,0.18740597367286682,reject_background,0.0,1053,72,1079,115
detector:nwpu_positive_035_det020,nwpu_positive_035,airplane,,0.14623256027698517,reject_background,0.0,179,153,202,191
detector:nwpu_positive_035_det021,nwpu_positive_035,airplane,,0.07849449664354324,reject_background,0.0,1052,63,1079,110
detector:nwpu_positive_038_det000,nwpu_positive_038,airplane,airplane,0.9482388496398926,accept,0.9383,860,406,965,489
detector:nwpu_positive_038_det001,nwpu_positive_038,airplane,airplane,0.9482210278511047,accept,0.8177,340,180,423,258
detector:nwpu_positive_038_det002,nwpu_positive_038,airplane,airplane,0.9233568906784058,accept,0.8157,326,269,428,345
detector:nwpu_positive_038_det003,nwpu_positive_038,airplane,airplane,0.9136698246002197,accept,0.8802,636,334,746,426
detector:nwpu_positive_038_det004,nwpu_positive_038,airplane,airplane,0.8892553448677063,accept,0.8776,628,99,705,169
detector:nwpu_positive_038_det005,nwpu_positive_038,airplane,airplane,0.8845254778862,accept,0.9106,258,58,336,145
detector:nwpu_positive_038_det006,nwpu_positive_038,airplane,airplane,0.871234655380249,accept,0.8421,340,361,421,437
detector:nwpu_positive_038_det007,nwpu_positive_038,airplane,airplane,0.8709992170333862,accept,0.8481,850,234,955,315
detector:nwpu_positive_038_det008,nwpu_positive_038,airplane,airplane,0.870540201663971,accept,0.8308,353,541,437,615
detector:nwpu_positive_038_det009,nwpu_positive_038,airplane,airplane,0.868096649646759,accept,0.8791,73,63,157,171
detector:nwpu_positive_038_det010,nwpu_positive_038,airplane,airplane,0.8538953065872192,accept,0.855,626,176,706,254
detector:nwpu_positive_038_det011,nwpu_positive_038,airplane,airplane,0.8531886339187622,accept,0.8281,777,35,851,116
detector:nwpu_positive_038_det012,nwpu_positive_038,airplane,airplane,0.8279099464416504,accept,0.8344,78,449,184,541
detector:nwpu_positive_038_det013,nwpu_positive_038,airplane,airplane,0.7573326230049133,accept,0.7984,73,257,157,328
detector:nwpu_positive_038_det014,nwpu_positive_038,airplane,,0.27953222393989563,reject_background,0.0,838,133,886,178
detector:nwpu_positive_038_det015,nwpu_positive_038,airplane,airplane,0.19996018707752228,reject_localisation,0.0026,174,533,223,578
detector:nwpu_positive_038_det016,nwpu_positive_038,airplane,,0.17663414776325226,reject_background,0.0,866,544,907,588
detector:nwpu_positive_038_det017,nwpu_positive_038,airplane,airplane,0.1515582799911499,reject_localisation,0.0773,835,205,892,249
detector:nwpu_positive_044_det000,nwpu_positive_044,airplane,airplane,0.9461328983306885,adjust,0.686,216,207,280,278
detector:nwpu_positive_044_det001,nwpu_positive_044,airplane,airplane,0.9412383437156677,accept,0.8132,647,361,720,444
detector:nwpu_positive_044_det002,nwpu_positive_044,airplane,airplane,0.9328984618186951,accept,0.8357,649,154,733,244
detector:nwpu_positive_044_det003,nwpu_positive_044,airplane,airplane,0.9288573265075684,accept,0.895,480,151,559,246
detector:nwpu_positive_044_det004,nwpu_positive_044,airplane,airplane,0.925134003162384,accept,0.9393,375,518,464,613
