crop_id,image_uid,split,class_id,class_name,xmin,ymin,xmax,ymax,area_px,image_width,image_height,sensor,skipped_reason,local_window_px,upsample_factor,high_upsample,box_fill
hrrsd_00001_000,hrrsd_00001,train,9,airplane,453,556,552,692,13464,1272,1504,,,150,1.493,False,0.598
hrrsd_00002_000,hrrsd_00002,train,9,airplane,1229,118,1327,234,11368,1627,2101,,,128,1.75,False,0.694
hrrsd_00002_001,hrrsd_00002,train,9,airplane,261,895,411,1045,22500,1627,2101,,,165,1.358,False,0.826
hrrsd_00002_002,hrrsd_00002,train,9,airplane,791,1113,953,1299,30132,1627,2101,,,205,1.093,False,0.717
hrrsd_00002_003,hrrsd_00002,train,9,airplane,627,1245,789,1421,28512,1627,2101,,,194,1.155,False,0.758
hrrsd_00002_004,hrrsd_00002,train,9,airplane,758,1474,891,1637,21679,1627,2101,,,179,1.251,False,0.677
hrrsd_00002_005,hrrsd_00002,train,9,airplane,284,1824,484,2004,36000,1627,2101,,,220,1.018,False,0.744
hrrsd_00017_000,hrrsd_00017,train,9,airplane,404,1059,500,1149,8640,1084,1489,,,106,2.113,False,0.769
hrrsd_00017_001,hrrsd_00017,train,9,airplane,994,1394,1076,1480,7052,1084,1489,,,95,2.358,False,0.781
hrrsd_00030_000,hrrsd_00030,train,9,airplane,368,804,470,914,11220,1093,1218,,,121,1.851,False,0.766
hrrsd_00030_001,hrrsd_00030,train,9,airplane,526,788,624,900,10976,1093,1218,,,123,1.821,False,0.725
hrrsd_00030_002,hrrsd_00030,train,9,airplane,672,768,768,878,10560,1093,1218,,,121,1.851,False,0.721
hrrsd_00043_000,hrrsd_00043,train,9,airplane,616,499,744,618,15232,1393,1158,,,141,1.589,False,0.766
hrrsd_00043_001,hrrsd_00043,train,9,airplane,664,658,786,768,13420,1393,1158,,,134,1.672,False,0.747
hrrsd_00045_000,hrrsd_00045,train,9,airplane,720,212,794,294,6068,924,1132,,,90,2.489,False,0.749
hrrsd_00045_001,hrrsd_00045,train,9,airplane,802,202,864,268,4092,924,1132,,,73,3.068,False,0.768
hrrsd_00045_002,hrrsd_00045,train,9,airplane,660,502,724,572,4480,924,1132,,,77,2.909,False,0.756
