auto_weight,auto_fraction,noise_rate,n_corrupted,harm,repeats,coverage_at_1pct,coverage_sd,aurc
1.0,0.5,0.0,0,combined,1,0.0028,0.0,0.4208
1.0,0.5,0.0,0,class_error,1,0.7078,0.0,0.0161
1.0,0.5,0.0,0,background_accept,1,0.902,0.0,0.0055
1.0,0.5,0.0,0,localisation_accept,1,0.0572,0.0,0.1574
1.0,0.5,0.0,0,loose_box_accept,1,0.0028,0.0,0.2418
1.0,0.5,0.05,142,combined,3,0.0026,0.0007,0.4235
1.0,0.5,0.05,142,class_error,3,0.5646,0.0121,0.0272
1.0,0.5,0.05,142,background_accept,3,0.8884,0.0041,0.0058
1.0,0.5,0.05,142,localisation_accept,3,0.0293,0.0039,0.1499
1.0,0.5,0.05,142,loose_box_accept,3,0.0032,0.0014,0.2406
1.0,0.5,0.1,284,combined,3,0.0025,0.0003,0.4258
1.0,0.5,0.1,284,class_error,3,0.437,0.0206,0.0346
1.0,0.5,0.1,284,background_accept,3,0.8809,0.0019,0.006
1.0,0.5,0.1,284,localisation_accept,3,0.0566,0.0132,0.1458
1.0,0.5,0.1,284,loose_box_accept,3,0.0043,0.0018,0.2394
1.0,0.5,0.2,568,combined,3,0.0026,0.0007,0.4293
1.0,0.5,0.2,568,class_error,3,0.2918,0.063,0.0405
1.0,0.5,0.2,568,background_accept,3,0.8705,0.0023,0.0063
1.0,0.5,0.2,568,localisation_accept,3,0.0663,0.0449,0.1441
1.0,0.5,0.2,568,loose_box_accept,3,0.0043,0.001,0.2384
0.75,0.5,0.0,0,combined,1,0.0028,0.0,0.4204
0.75,0.5,0.0,0,class_error,1,0.714,0.0,0.0158
0.75,0.5,0.0,0,background_accept,1,0.9009,0.0,0.0056
0.75,0.5,0.0,0,localisation_accept,1,0.0612,0.0,0.1569
0.75,0.5,0.0,0,loose_box_accept,1,0.0028,0.0,0.2422
0.75,0.5,0.05,142,combined,3,0.0034,0.0005,0.421
0.75,0.5,0.05,142,class_error,3,0.6031,0.0159,0.0238
0.75,0.5,0.05,142,background_accept,3,0.8884,0.0024,0.0059
0.75,0.5,0.05,142,localisation_accept,3,0.0593,0.0176,0.1497
0.75,0.5,0.05,142,loose_box_accept,3,0.0034,0.0005,0.2417
0.75,0.5,0.1,284,combined,3,0.0034,0.0005,0.4217
0.75,0.5,0.1,284,class_error,3,0.5774,0.0085,0.0255
0.75,0.5,0.1,284,background_accept,3,0.8818,0.0007,0.0061
0.75,0.5,0.1,284,localisation_accept,3,0.077,0.0076,0.1479
0.75,0.5,0.1,284,loose_box_accept,3,0.0034,0.0005,0.2422
0.75,0.5,0.2,568,combined,3,0.004,0.0005,0.4214
0.75,0.5,0.2,568,class_error,3,0.5551,0.0115,0.0264
0.75,0.5,0.2,568,background_accept,3,0.8786,0.0021,0.0062
0.75,0.5,0.2,568,localisation_accept,3,0.0632,0.0147,0.1471
0.75,0.5,0.2,568,loose_box_accept,3,0.004,0.0005,0.2417
0.5,0.5,0.0,0,combined,1,0.0028,0.0,0.4204
0.5,0.5,0.0,0,class_error,1,0.7186,0.0,0.0156
0.5,0.5,0.0,0,background_accept,1,0.9015,0.0,0.0056
0.5,0.5,0.0,0,localisation_accept,1,0.0612,0.0,0.157
0.5,0.5,0.0,0,loose_box_accept,1,0.0028,0.0,0.2423
0.5,0.5,0.05,142,combined,3,0.0034,0.0005,0.4211
0.5,0.5,0.05,142,class_error,3,0.6202,0.0134,0.023
0.5,0.5,0.05,142,background_accept,3,0.8901,0.0028,0.0058
0.5,0.5,0.05,142,localisation_accept,3,0.0585,0.0179,0.1505
0.5,0.5,0.05,142,loose_box_accept,3,0.0034,0.0005,0.2418
0.5,0.5,0.1,284,combined,3,0.0034,0.0005,0.4216
0.5,0.5,0.1,284,class_error,3,0.5857,0.0077,0.025
0.5,0.5,0.1,284,background_accept,3,0.8834,0.0014,0.006
0.5,0.5,0.1,284,localisation_accept,3,0.0774,0.0059,0.1484
0.5,0.5,0.1,284,loose_box_accept,3,0.0034,0.0005,0.2422
0.5,0.5,0.2,568,combined,3,0.0036,0.0003,0.4213
0.5,0.5,0.2,568,class_error,3,0.5595,0.0158,0.026
0.5,0.5,0.2,568,background_accept,3,0.8817,0.0024,0.0062
0.5,0.5,0.2,568,localisation_accept,3,0.0632,0.0165,0.1475
0.5,0.5,0.2,568,loose_box_accept,3,0.0036,0.0003,0.2416
0.25,0.5,0.0,0,combined,1,0.0028,0.0,0.4204
0.25,0.5,0.0,0,class_error,1,0.722,0.0,0.0153
0.25,0.5,0.0,0,background_accept,1,0.9009,0.0,0.0056
0.25,0.5,0.0,0,localisation_accept,1,0.0606,0.0,0.1571
0.25,0.5,0.0,0,loose_box_accept,1,0.0028,0.0,0.2424
0.25,0.5,0.05,142,combined,3,0.0032,0.0003,0.4207
0.25,0.5,0.05,142,class_error,3,0.6412,0.0099,0.0214
0.25,0.5,0.05,142,background_accept,3,0.8954,0.0035,0.0057
0.25,0.5,0.05,142,localisation_accept,3,0.0581,0.0196,0.1519
0.25,0.5,0.05,142,loose_box_accept,3,0.0032,0.0003,0.2418
0.25,0.5,0.1,284,combined,3,0.0034,0.0005,0.421
0.25,0.5,0.1,284,class_error,3,0.6082,0.0107,0.0236
0.25,0.5,0.1,284,background_accept,3,0.8884,0.0009,0.0059
0.25,0.5,0.1,284,localisation_accept,3,0.0764,0.0016,0.1497
0.25,0.5,0.1,284,loose_box_accept,3,0.0034,0.0005,0.2419
0.25,0.5,0.2,568,combined,3,0.0034,0.0005,0.4213
0.25,0.5,0.2,568,class_error,3,0.5747,0.0199,0.025
0.25,0.5,0.2,568,background_accept,3,0.8856,0.0028,0.006
0.25,0.5,0.2,568,localisation_accept,3,0.0655,0.0232,0.1484
0.25,0.5,0.2,568,loose_box_accept,3,0.0034,0.0005,0.2418
