held_out_class,n_query_novel,n_query_familiar,n_memory_after_removal,n_memory_removed,mean_novelty_novel,mean_novelty_familiar,auroc,novelty_threshold_at_95,false_flag_rate_at_95
airplane,144,387,2330,512,0.1851,0.0575,0.9999,0.1595,0.0
baseball_diamond,65,466,2573,269,0.1662,0.054,1.0,0.143,0.0
basketball_court,19,512,2731,111,0.1464,0.0526,0.9983,0.1165,0.0039
bridge,16,515,2750,92,0.2215,0.0522,1.0,0.1808,0.0
ground_track_field,24,507,2728,114,0.1693,0.0528,0.9993,0.1244,0.0039
harbor,17,514,2661,181,0.1505,0.0529,0.9985,0.1235,0.0039
ship,53,478,2641,201,0.17,0.0551,0.9995,0.1362,0.0021
storage_tank,60,471,2317,525,0.1982,0.0528,1.0,0.1693,0.0
tennis_court,59,472,2447,395,0.1399,0.0522,0.9973,0.1093,0.0064
vehicle,74,457,2400,442,0.198,0.0505,0.9999,0.1659,0.0
