proposal_id,split,verdict,corpus,image_uid,predicted_class,verified_class,iou,sensor,box_fill
background:bg_negative_image_nwpu_background_001_000,train,reject_background,background,nwpu_background_001,vehicle,,0.0,rgb,0.787
background:bg_negative_image_nwpu_background_001_001,train,reject_background,background,nwpu_background_001,tennis_court,,0.0,rgb,0.656
background:bg_negative_image_nwpu_background_001_002,train,reject_background,background,nwpu_background_001,storage_tank,,0.0,rgb,0.797
background:bg_negative_image_nwpu_background_001_003,train,reject_background,background,nwpu_background_001,baseball_diamond,,0.0,rgb,0.634
background:bg_negative_image_nwpu_background_003_000,train,reject_background,background,nwpu_background_003,storage_tank,,0.0,rgb,0.804
background:bg_negative_image_nwpu_background_003_001,train,reject_background,background,nwpu_background_003,vehicle,,0.0,rgb,0.765
background:bg_negative_image_nwpu_background_003_002,train,reject_background,background,nwpu_background_003,airplane,,0.0,rgb,0.812
background:bg_negative_image_nwpu_background_003_003,train,reject_background,background,nwpu_background_003,basketball_court,,0.0,rgb,0.771
background:bg_negative_image_nwpu_background_004_000,train,reject_background,background,nwpu_background_004,baseball_diamond,,0.0,rgb,0.681
background:bg_negative_image_nwpu_background_004_001,train,reject_background,background,nwpu_background_004,ground_track_field,,0.0,rgb,0.565
background:bg_negative_image_nwpu_background_004_002,train,reject_background,background,nwpu_background_004,tennis_court,,0.0,rgb,0.709
background:bg_negative_image_nwpu_background_004_003,train,reject_background,background,nwpu_background_004,ship,,0.0,rgb,0.744
background:bg_negative_image_nwpu_background_006_000,train,reject_background,background,nwpu_background_006,storage_tank,,0.0,rgb,0.522
background:bg_negative_image_nwpu_background_006_001,train,reject_background,background,nwpu_background_006,basketball_court,,0.0,rgb,0.72
background:bg_negative_image_nwpu_background_006_002,train,reject_background,background,nwpu_background_006,airplane,,0.0,rgb,0.733
background:bg_negative_image_nwpu_background_006_003,train,reject_background,background,nwpu_background_006,baseball_diamond,,0.0,rgb,0.56
background:bg_negative_image_nwpu_background_007_000,train,reject_background,background,nwpu_background_007,vehicle,,0.0,rgb,0.395
background:bg_negative_image_nwpu_background_007_001,train,reject_background,background,nwpu_background_007,storage_tank,,0.0,rgb,0.774
background:bg_negative_image_nwpu_background_007_002,train,reject_background,background,nwpu_background_007,ground_track_field,,0.0,rgb,0.802
background:bg_negative_image_nwpu_background_007_003,train,reject_background,background,nwpu_background_007,tennis_court,,0.0,rgb,0.611
background:bg_negative_image_nwpu_background_009_000,train,reject_background,background,nwpu_background_009,airplane,,0.0,rgb,0.527
background:bg_negative_image_nwpu_background_009_001,train,reject_background,background,nwpu_background_009,baseball_diamond,,0.0,rgb,0.706
background:bg_negative_image_nwpu_background_009_002,train,reject_background,background,nwpu_background_009,baseball_diamond,,0.0,rgb,0.712
background:bg_negative_image_nwpu_background_009_003,train,reject_background,background,nwpu_background_009,vehicle,,0.0,rgb,0.526
background:bg_negative_image_nwpu_background_010_000,train,reject_background,background,nwpu_background_010,storage_tank,,0.0,rgb,0.774
background:bg_negative_image_nwpu_background_010_001,train,reject_background,background,nwpu_background_010,storage_tank,,0.0,rgb,0.549
background:bg_negative_image_nwpu_background_010_002,train,reject_background,background,nwpu_background_010,airplane,,0.0,rgb,0.804
background:bg_negative_image_nwpu_background_010_003,train,reject_background,background,nwpu_background_010,airplane,,0.0,rgb,0.737
background:bg_negative_image_nwpu_background_011_000,train,reject_background,background,nwpu_background_011,storage_tank,,0.0,rgb,0.531
background:bg_negative_image_nwpu_background_011_001,train,reject_background,background,nwpu_background_011,ground_track_field,,0.0,rgb,0.744
background:bg_negative_image_nwpu_background_011_002,train,reject_background,background,nwpu_background_011,vehicle,,0.0,rgb,0.537
background:bg_negative_image_nwpu_background_011_003,train,reject_background,background,nwpu_background_011,tennis_court,,0.0,rgb,0.413
background:bg_negative_image_nwpu_background_012_000,train,reject_background,background,nwpu_background_012,harbor,,0.0,rgb,0.573
background:bg_negative_image_nwpu_background_012_001,train,reject_background,background,nwpu_background_012,tennis_court,,0.0,rgb,0.632
background:bg_negative_image_nwpu_background_012_002,train,reject_background,background,nwpu_background_012,vehicle,,0.0,rgb,0.617
background:bg_negative_image_nwpu_background_012_003,train,reject_background,background,nwpu_background_012,harbor,,0.0,rgb,0.759
background:bg_negative_image_nwpu_background_013_000,train,reject_background,background,nwpu_background_013,storage_tank,,0.0,rgb,0.611
background:bg_negative_image_nwpu_background_013_001,train,reject_background,background,nwpu_background_013,vehicle,,0.0,rgb,0.724
background:bg_negative_image_nwpu_background_013_002,train,reject_background,background,nwpu_background_013,baseball_diamond,,0.0,rgb,0.709
background:bg_negative_image_nwpu_background_013_003,train,reject_background,background,nwpu_background_013,vehicle,,0.0,rgb,0.42
