class,relabel_target,probability
airplane,storage_tank,0.7027
airplane,tennis_court,0.2162
airplane,vehicle,0.0811
baseball_diamond,ground_track_field,0.5698
baseball_diamond,tennis_court,0.2119
baseball_diamond,basketball_court,0.174
baseball_diamond,storage_tank,0.0358
baseball_diamond,vehicle,0.0084
basketball_court,tennis_court,0.761
basketball_court,baseball_diamond,0.2362
basketball_court,bridge,0.0028
bridge,ground_track_field,0.4375
bridge,baseball_diamond,0.4375
bridge,harbor,0.125
ground_track_field,baseball_diamond,1.0
harbor,ship,0.4808
harbor,tennis_court,0.3654
harbor,airplane,0.1538
ship,storage_tank,0.4414
ship,vehicle,0.3176
ship,harbor,0.1622
ship,bridge,0.0766
ship,tennis_court,0.0023
storage_tank,ship,0.4683
storage_tank,vehicle,0.2254
storage_tank,baseball_diamond,0.1866
storage_tank,basketball_court,0.0739
storage_tank,airplane,0.0458
tennis_court,basketball_court,0.6002
tennis_court,baseball_diamond,0.2899
tennis_court,ground_track_field,0.0811
tennis_court,vehicle,0.0276
tennis_court,airplane,0.0008
tennis_court,ship,0.0004
vehicle,storage_tank,0.5878
vehicle,ship,0.4122
