baseline,harm,coverage,risk
B1_knn_vote,combined,0.0006,0.0
B1_knn_vote,combined,0.0051,0.2222
B1_knn_vote,combined,0.0096,0.1765
B1_knn_vote,combined,0.0142,0.24
B1_knn_vote,combined,0.0187,0.2121
B1_knn_vote,combined,0.0232,0.2195
B1_knn_vote,combined,0.0277,0.2041
B1_knn_vote,combined,0.0323,0.193
B1_knn_vote,combined,0.0368,0.2
B1_knn_vote,combined,0.0413,0.1781
B1_knn_vote,combined,0.0459,0.1728
B1_knn_vote,combined,0.0504,0.1685
B1_knn_vote,combined,0.0549,0.1753
B1_knn_vote,combined,0.0595,0.2
B1_knn_vote,combined,0.064,0.2035
B1_knn_vote,combined,0.0685,0.2397
B1_knn_vote,combined,0.073,0.2403
B1_knn_vote,combined,0.0776,0.2482
B1_knn_vote,combined,0.0821,0.269
B1_knn_vote,combined,0.0866,0.2745
B1_knn_vote,combined,0.0912,0.2733
B1_knn_vote,combined,0.0957,0.2781
B1_knn_vote,combined,0.1002,0.2768
B1_knn_vote,combined,0.1048,0.2757
B1_knn_vote,combined,0.1093,0.2746
B1_knn_vote,combined,0.1138,0.2736
B1_knn_vote,combined,0.1183,0.2727
B1_knn_vote,combined,0.1229,0.2765
B1_knn_vote,combined,0.1274,0.28
B1_knn_vote,combined,0.1319,0.2833
B1_knn_vote,combined,0.1365,0.2863
B1_knn_vote,combined,0.141,0.2932
B1_knn_vote,combined,0.1455,0.2996
B1_knn_vote,combined,0.1501,0.3019
B1_knn_vote,combined,0.1546,0.3004
B1_knn_vote,combined,0.1591,0.2954
B1_knn_vote,combined,0.1636,0.2976
B1_knn_vote,combined,0.1682,0.2963
B1_knn_vote,combined,0.1727,0.3082
B1_knn_vote,combined,0.1772,0.3067
B1_knn_vote,combined,0.1818,0.3022
B1_knn_vote,combined,0.1863,0.31
B1_knn_vote,combined,0.1908,0.3175
B1_knn_vote,combined,0.1954,0.3246
B1_knn_vote,combined,0.1999,0.3286
B1_knn_vote,combined,0.2044,0.3324
B1_knn_vote,combined,0.2089,0.336
B1_knn_vote,combined,0.2135,0.3369
B1_knn_vote,combined,0.218,0.3403
B1_knn_vote,combined,0.2225,0.341
B1_knn_vote,combined,0.2271,0.3416
B1_knn_vote,combined,0.2316,0.3496
B1_knn_vote,combined,0.2361,0.3549
B1_knn_vote,combined,0.2407,0.3506
B1_knn_vote,combined,0.2452,0.3464
B1_knn_vote,combined,0.2497,0.3515
B1_knn_vote,combined,0.2542,0.3563
B1_knn_vote,combined,0.2588,0.3611
B1_knn_vote,combined,0.2633,0.3591
B1_knn_vote,combined,0.2678,0.3552
B1_knn_vote,combined,0.2724,0.3555
B1_knn_vote,combined,0.2769,0.3599
B1_knn_vote,combined,0.2814,0.3602
B1_knn_vote,combined,0.286,0.3624
B1_knn_vote,combined,0.2905,0.3665
B1_knn_vote,combined,0.295,0.3685
B1_knn_vote,combined,0.2995,0.3705
B1_knn_vote,combined,0.3041,0.3706
B1_knn_vote,combined,0.3086,0.3743
B1_knn_vote,combined,0.3131,0.3725
B1_knn_vote,combined,0.3177,0.3761
B1_knn_vote,combined,0.3222,0.3761
B1_knn_vote,combined,0.3267,0.3778
B1_knn_vote,combined,0.3313,0.3812
B1_knn_vote,combined,0.3358,0.3828
B1_knn_vote,combined,0.3403,0.381
B1_knn_vote,combined,0.3448,0.381
B1_knn_vote,combined,0.3494,0.3825
B1_knn_vote,combined,0.3539,0.384
B1_knn_vote,combined,0.3584,0.3839
B1_knn_vote,combined,0.363,0.3869
B1_knn_vote,combined,0.3675,0.3914
B1_knn_vote,combined,0.372,0.3942
B1_knn_vote,combined,0.3766,0.397
B1_knn_vote,combined,0.3811,0.3982
B1_knn_vote,combined,0.3856,0.4038
B1_knn_vote,combined,0.3901,0.4093
B1_knn_vote,combined,0.3947,0.4146
B1_knn_vote,combined,0.3992,0.4156
B1_knn_vote,combined,0.4037,0.418
B1_knn_vote,combined,0.4083,0.4216
B1_knn_vote,combined,0.4128,0.4252
B1_knn_vote,combined,0.4173,0.4288
B1_knn_vote,combined,0.4219,0.4322
