alpha,class,n,mean_box_fill,local_p_at_5,local_tight_p_at_5,delta
0.0,airplane,144,0.731,1.0,1.0,0.0
0.0,baseball_diamond,65,0.689,0.9231,0.9231,0.0
0.0,basketball_court,19,0.614,0.6,0.6,0.0
0.0,bridge,16,0.539,0.9875,0.9875,0.0
0.0,ground_track_field,24,0.616,0.9667,0.9667,0.0
0.0,harbor,17,0.53,0.9882,0.9882,0.0
0.0,ship,53,0.487,0.9849,0.9849,0.0
0.0,storage_tank,60,0.777,0.98,0.98,0.0
0.0,tennis_court,59,0.58,0.8475,0.8475,0.0
0.0,vehicle,74,0.584,1.0,1.0,0.0
0.25,airplane,144,0.731,1.0,1.0,0.0
0.25,baseball_diamond,65,0.689,1.0,1.0,0.0
0.25,basketball_court,19,0.614,0.9789,0.9789,0.0
0.25,bridge,16,0.539,1.0,1.0,0.0
0.25,ground_track_field,24,0.616,1.0,1.0,0.0
0.25,harbor,17,0.53,1.0,1.0,0.0
0.25,ship,53,0.487,1.0,1.0,0.0
0.25,storage_tank,60,0.777,1.0,1.0,0.0
0.25,tennis_court,59,0.58,0.9932,0.9932,0.0
0.25,vehicle,74,0.584,1.0,1.0,0.0
0.5,airplane,144,0.731,1.0,1.0,0.0
0.5,baseball_diamond,65,0.689,1.0,1.0,0.0
0.5,basketball_court,19,0.614,1.0,0.9895,-0.0105
0.5,bridge,16,0.539,1.0,1.0,0.0
0.5,ground_track_field,24,0.616,1.0,1.0,0.0
0.5,harbor,17,0.53,1.0,1.0,0.0
0.5,ship,53,0.487,1.0,1.0,0.0
0.5,storage_tank,60,0.777,1.0,1.0,0.0
0.5,tennis_court,59,0.58,0.9966,0.9898,-0.0068
0.5,vehicle,74,0.584,1.0,1.0,0.0
0.75,airplane,144,0.731,1.0,1.0,0.0
0.75,baseball_diamond,65,0.689,1.0,0.9969,-0.0031
0.75,basketball_court,19,0.614,1.0,1.0,0.0
0.75,bridge,16,0.539,1.0,1.0,0.0
0.75,ground_track_field,24,0.616,1.0,1.0,0.0
0.75,harbor,17,0.53,1.0,1.0,0.0
0.75,ship,53,0.487,1.0,1.0,0.0
0.75,storage_tank,60,0.777,1.0,1.0,0.0
0.75,tennis_court,59,0.58,1.0,0.9932,-0.0068
0.75,vehicle,74,0.584,1.0,1.0,0.0
1.0,airplane,144,0.731,1.0,1.0,0.0
1.0,baseball_diamond,65,0.689,1.0,0.9969,-0.0031
1.0,basketball_court,19,0.614,1.0,1.0,0.0
1.0,bridge,16,0.539,1.0,0.9875,-0.0125
1.0,ground_track_field,24,0.616,1.0,1.0,0.0
1.0,harbor,17,0.53,1.0,1.0,0.0
1.0,ship,53,0.487,1.0,1.0,0.0
1.0,storage_tank,60,0.777,1.0,1.0,0.0
1.0,tennis_court,59,0.58,1.0,0.9898,-0.0102
1.0,vehicle,74,0.584,0.9946,0.9865,-0.0081
